kappa,condition,epsilon,sigma,agent_id,episode_idx,outcome,rescued
0.25,explore_only,0.2,0.0,22,2,TIMEOUT,0
0.25,explore_only,0.2,0.0,22,3,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,22,4,TIMEOUT,0
0.25,explore_only,0.2,0.0,23,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,23,1,TIMEOUT,0
0.25,explore_only,0.2,0.0,23,2,TIMEOUT,0
0.25,explore_only,0.2,0.0,23,3,TIMEOUT,0
0.25,explore_only,0.2,0.0,23,4,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,24,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,24,1,TIMEOUT,0
0.25,explore_only,0.2,0.0,24,2,TIMEOUT,0
0.25,explore_only,0.2,0.0,24,3,TIMEOUT,0
0.25,explore_only,0.2,0.0,24,4,TIMEOUT,0
0.25,explore_only,0.2,0.0,25,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,25,1,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,25,2,TIMEOUT,0
0.25,explore_only,0.2,0.0,25,3,TIMEOUT,0
0.25,explore_only,0.2,0.0,25,4,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,26,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,26,1,TIMEOUT,0
0.25,explore_only,0.2,0.0,26,2,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,26,3,TIMEOUT,0
0.25,explore_only,0.2,0.0,26,4,TIMEOUT,0
0.25,explore_only,0.2,0.0,27,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,27,1,TIMEOUT,0
0.25,explore_only,0.2,0.0,27,2,TIMEOUT,0
0.25,explore_only,0.2,0.0,27,3,TIMEOUT,0
0.25,explore_only,0.2,0.0,27,4,TIMEOUT,0
0.25,explore_only,0.2,0.0,28,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,28,1,TIMEOUT,0
0.25,explore_only,0.2,0.0,28,2,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,28,3,TIMEOUT,0
0.25,explore_only,0.2,0.0,28,4,TIMEOUT,0
0.25,explore_only,0.2,0.0,29,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,29,1,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,29,2,TIMEOUT,0
0.25,explore_only,0.2,0.0,29,3,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,29,4,TIMEOUT,0
0.25,explore_only,0.2,0.0,30,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,30,1,TIMEOUT,0
0.25,explore_only,0.2,0.0,30,2,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,30,3,TIMEOUT,0
0.25,explore_only,0.2,0.0,30,4,TIMEOUT,0
0.25,explore_only,0.2,0.0,31,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,31,1,TIMEOUT,0
0.25,explore_only,0.2,0.0,31,2,TIMEOUT,0
0.25,explore_only,0.2,0.0,31,3,TIMEOUT,0
0.25,explore_only,0.2,0.0,31,4,TIMEOUT,0
0.25,explore_only,0.2,0.0,32,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,32,1,TIMEOUT,0
0.25,explore_only,0.2,0.0,32,2,TIMEOUT,0
0.25,explore_only,0.2,0.0,32,3,TIMEOUT,0
0.25,explore_only,0.2,0.0,32,4,TIMEOUT,0
0.25,explore_only,0.2,0.0,33,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,33,1,TIMEOUT,0
0.25,explore_only,0.2,0.0,33,2,TIMEOUT,0
0.25,explore_only,0.2,0.0,33,3,TIMEOUT,0
0.25,explore_only,0.2,0.0,33,4,TIMEOUT,0
0.25,explore_only,0.2,0.0,34,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,34,1,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,34,2,TIMEOUT,0
0.25,explore_only,0.2,0.0,34,3,TIMEOUT,0
0.25,explore_only,0.2,0.0,34,4,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,35,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,35,1,TIMEOUT,0
0.25,explore_only,0.2,0.0,35,2,TIMEOUT,0
0.25,explore_only,0.2,0.0,35,3,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,35,4,TIMEOUT,0
0.25,explore_only,0.2,0.0,36,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,36,1,TIMEOUT,0
0.25,explore_only,0.2,0.0,36,2,TIMEOUT,0
0.25,explore_only,0.2,0.0,36,3,TIMEOUT,0
0.25,explore_only,0.2,0.0,36,4,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,37,0,TIMEOUT,0
0.25,explore_only,0.2,0.0,37,1,TIMEOUT,0
0.25,explore_only,0.2,0.0,37,2,TIMEOUT,0
0.25,explore_only,0.2,0.0,37,3,RESOURCE_TAKEN,0
0.25,explore_only,0.2,0.0,37,4,TIMEOUT,0
0.25,explore_only,0.2,0.0,38,0,TIMEOUT,0
