kappa,agent_id,episode_idx,outcome,steps_used,target_switches,n_memories
0.25,22,9,TIMEOUT,12,3,11
0.25,23,0,TIMEOUT,12,2,2
0.25,23,1,TIMEOUT,12,0,3
0.25,23,2,TIMEOUT,12,2,4
0.25,23,3,RESOURCE_TAKEN,8,0,5
0.25,23,4,TIMEOUT,12,0,6
0.25,23,5,TIMEOUT,12,0,7
0.25,23,6,TIMEOUT,12,2,8
0.25,23,7,TIMEOUT,12,0,9
0.25,23,8,TIMEOUT,12,0,10
0.25,23,9,TIMEOUT,12,0,11
0.25,24,0,TIMEOUT,12,2,2
0.25,24,1,TIMEOUT,12,0,3
0.25,24,2,RESOURCE_TAKEN,10,1,4
0.25,24,3,TIMEOUT,12,1,5
0.25,24,4,TIMEOUT,12,0,6
0.25,24,5,RESOURCE_TAKEN,11,0,7
0.25,24,6,RESOURCE_TAKEN,11,0,8
0.25,24,7,TIMEOUT,12,0,9
0.25,24,8,TIMEOUT,12,2,10
0.25,24,9,TIMEOUT,12,1,11
0.25,25,0,TIMEOUT,12,1,2
0.25,25,1,RESOURCE_TAKEN,12,0,3
0.25,25,2,TIMEOUT,12,0,4
0.25,25,3,TIMEOUT,12,0,5
0.25,25,4,TIMEOUT,12,0,6
0.25,25,5,RESOURCE_TAKEN,9,1,7
0.25,25,6,TIMEOUT,12,1,8
0.25,25,7,TIMEOUT,12,1,9
0.25,25,8,RESOURCE_TAKEN,11,0,10
0.25,25,9,TIMEOUT,12,1,11
0.25,26,0,TIMEOUT,12,2,2
0.25,26,1,RESOURCE_TAKEN,9,0,3
0.25,26,2,TIMEOUT,12,1,4
0.25,26,3,TIMEOUT,12,0,5
0.25,26,4,RESOURCE_TAKEN,12,0,6
0.25,26,5,TIMEOUT,12,1,7
0.25,26,6,TIMEOUT,12,2,8
0.25,26,7,TIMEOUT,12,1,9
0.25,26,8,RESOURCE_TAKEN,11,0,10
0.25,26,9,TIMEOUT,12,1,11
0.25,27,0,TIMEOUT,12,2,2
0.25,27,1,TIMEOUT,12,0,3
0.25,27,2,TIMEOUT,12,1,4
0.25,27,3,RESOURCE_TAKEN,11,0,5
0.25,27,4,TIMEOUT,12,2,6
0.25,27,5,TIMEOUT,12,2,7
0.25,27,6,TIMEOUT,12,2,8
0.25,27,7,RESOURCE_TAKEN,12,2,9
0.25,27,8,TIMEOUT,12,0,10
0.25,27,9,RESOURCE_TAKEN,11,0,11
0.25,28,0,TIMEOUT,12,1,2
0.25,28,1,TIMEOUT,12,1,3
0.25,28,2,TIMEOUT,12,0,4
0.25,28,3,TIMEOUT,12,0,5
0.25,28,4,TIMEOUT,12,2,6
