kappa,softmax_temp,agent_id,outcome,rescued,resource,partner_dead,timeout,steps_used,target_switches
0.1,0.15,44,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.15,45,TIMEOUT,0,0,0,1,12,0
0.1,0.15,46,TIMEOUT,0,0,0,1,12,0
0.1,0.15,47,TIMEOUT,0,0,0,1,12,2
0.1,0.15,48,TIMEOUT,0,0,0,1,12,1
0.1,0.15,49,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.15,50,TIMEOUT,0,0,0,1,12,1
0.1,0.15,51,TIMEOUT,0,0,0,1,12,0
0.1,0.15,52,TIMEOUT,0,0,0,1,12,0
0.1,0.15,53,TIMEOUT,0,0,0,1,12,1
0.1,0.15,54,TIMEOUT,0,0,0,1,12,2
0.1,0.15,55,TIMEOUT,0,0,0,1,12,0
0.1,0.15,56,RESOURCE_TAKEN,0,1,0,0,11,0
0.1,0.15,57,RESOURCE_TAKEN,0,1,0,0,11,0
0.1,0.15,58,TIMEOUT,0,0,0,1,12,0
0.1,0.15,59,TIMEOUT,0,0,0,1,12,2
0.1,0.3,0,TIMEOUT,0,0,0,1,12,0
0.1,0.3,1,TIMEOUT,0,0,0,1,12,0
0.1,0.3,2,TIMEOUT,0,0,0,1,12,0
0.1,0.3,3,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.3,4,TIMEOUT,0,0,0,1,12,1
0.1,0.3,5,TIMEOUT,0,0,0,1,12,0
0.1,0.3,6,PARTNER_RESCUED,1,0,0,0,7,0
0.1,0.3,7,TIMEOUT,0,0,0,1,12,1
0.1,0.3,8,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.3,9,TIMEOUT,0,0,0,1,12,0
0.1,0.3,10,TIMEOUT,0,0,0,1,12,1
0.1,0.3,11,TIMEOUT,0,0,0,1,12,0
0.1,0.3,12,TIMEOUT,0,0,0,1,12,1
0.1,0.3,13,TIMEOUT,0,0,0,1,12,2
0.1,0.3,14,TIMEOUT,0,0,0,1,12,3
0.1,0.3,15,TIMEOUT,0,0,0,1,12,1
0.1,0.3,16,TIMEOUT,0,0,0,1,12,0
0.1,0.3,17,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.3,18,TIMEOUT,0,0,0,1,12,1
0.1,0.3,19,TIMEOUT,0,0,0,1,12,0
0.1,0.3,20,TIMEOUT,0,0,0,1,12,0
0.1,0.3,21,TIMEOUT,0,0,0,1,12,1
0.1,0.3,22,TIMEOUT,0,0,0,1,12,0
0.1,0.3,23,TIMEOUT,0,0,0,1,12,0
0.1,0.3,24,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.3,25,TIMEOUT,0,0,0,1,12,0
0.1,0.3,26,TIMEOUT,0,0,0,1,12,2
0.1,0.3,27,TIMEOUT,0,0,0,1,12,1
0.1,0.3,28,RESOURCE_TAKEN,0,1,0,0,6,0
0.1,0.3,29,TIMEOUT,0,0,0,1,12,0
0.1,0.3,30,TIMEOUT,0,0,0,1,12,0
0.1,0.3,31,TIMEOUT,0,0,0,1,12,0
0.1,0.3,32,TIMEOUT,0,0,0,1,12,0
0.1,0.3,33,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.3,34,TIMEOUT,0,0,0,1,12,3
0.1,0.3,35,TIMEOUT,0,0,0,1,12,1
0.1,0.3,36,TIMEOUT,0,0,0,1,12,0
0.1,0.3,37,TIMEOUT,0,0,0,1,12,0
0.1,0.3,38,TIMEOUT,0,0,0,1,12,0
0.1,0.3,39,TIMEOUT,0,0,0,1,12,0
0.1,0.3,40,TIMEOUT,0,0,0,1,12,1
0.1,0.3,41,TIMEOUT,0,0,0,1,12,0
0.1,0.3,42,TIMEOUT,0,0,0,1,12,1
0.1,0.3,43,TIMEOUT,0,0,0,1,12,0
0.1,0.3,44,TIMEOUT,0,0,0,1,12,0
0.1,0.3,45,TIMEOUT,0,0,0,1,12,0
0.1,0.3,46,TIMEOUT,0,0,0,1,12,0
0.1,0.3,47,TIMEOUT,0,0,0,1,12,0
0.1,0.3,48,TIMEOUT,0,0,0,1,12,1
0.1,0.3,49,TIMEOUT,0,0,0,1,12,0
0.1,0.3,50,TIMEOUT,0,0,0,1,12,0
0.1,0.3,51,TIMEOUT,0,0,0,1,12,0
0.1,0.3,52,TIMEOUT,0,0,0,1,12,0
0.1,0.3,53,TIMEOUT,0,0,0,1,12,0
0.1,0.3,54,TIMEOUT,0,0,0,1,12,2
0.1,0.3,55,TIMEOUT,0,0,0,1,12,0
0.1,0.3,56,TIMEOUT,0,0,0,1,12,0
0.1,0.3,57,TIMEOUT,0,0,0,1,12,1
0.1,0.3,58,TIMEOUT,0,0,0,1,12,0
0.1,0.3,59,TIMEOUT,0,0,0,1,12,0
0.1,0.6,0,TIMEOUT,0,0,0,1,12,1
0.1,0.6,1,TIMEOUT,0,0,0,1,12,2
0.1,0.6,2,TIMEOUT,0,0,0,1,12,2
0.1,0.6,3,TIMEOUT,0,0,0,1,12,0
0.1,0.6,4,TIMEOUT,0,0,0,1,12,2
0.1,0.6,5,TIMEOUT,0,0,0,1,12,0
0.1,0.6,6,TIMEOUT,0,0,0,1,12,2
0.1,0.6,7,TIMEOUT,0,0,0,1,12,1
0.1,0.6,8,TIMEOUT,0,0,0,1,12,0
0.1,0.6,9,TIMEOUT,0,0,0,1,12,1
0.1,0.6,10,TIMEOUT,0,0,0,1,12,1
0.1,0.6,11,TIMEOUT,0,0,0,1,12,1
0.1,0.6,12,TIMEOUT,0,0,0,1,12,0
0.1,0.6,13,TIMEOUT,0,0,0,1,12,0
0.1,0.6,14,TIMEOUT,0,0,0,1,12,3
0.1,0.6,15,TIMEOUT,0,0,0,1,12,0
0.1,0.6,16,TIMEOUT,0,0,0,1,12,0
0.1,0.6,17,TIMEOUT,0,0,0,1,12,1
0.1,0.6,18,TIMEOUT,0,0,0,1,12,3
0.1,0.6,19,TIMEOUT,0,0,0,1,12,0
0.1,0.6,20,TIMEOUT,0,0,0,1,12,1
0.1,0.6,21,TIMEOUT,0,0,0,1,12,0
0.1,0.6,22,TIMEOUT,0,0,0,1,12,3
0.1,0.6,23,TIMEOUT,0,0,0,1,12,0
0.1,0.6,24,TIMEOUT,0,0,0,1,12,0
0.1,0.6,25,TIMEOUT,0,0,0,1,12,0
0.1,0.6,26,TIMEOUT,0,0,0,1,12,2
0.1,0.6,27,TIMEOUT,0,0,0,1,12,0
0.1,0.6,28,TIMEOUT,0,0,0,1,12,0
0.1,0.6,29,RESOURCE_TAKEN,0,1,0,0,12,0
0.1,0.6,30,TIMEOUT,0,0,0,1,12,1
0.1,0.6,31,TIMEOUT,0,0,0,1,12,0
0.1,0.6,32,TIMEOUT,0,0,0,1,12,0
0.1,0.6,33,TIMEOUT,0,0,0,1,12,1
0.1,0.6,34,TIMEOUT,0,0,0,1,12,1
0.1,0.6,35,TIMEOUT,0,0,0,1,12,1
0.1,0.6,36,TIMEOUT,0,0,0,1,12,0
0.1,0.6,37,TIMEOUT,0,0,0,1,12,1
0.1,0.6,38,TIMEOUT,0,0,0,1,12,1
0.1,0.6,39,TIMEOUT,0,0,0,1,12,0
0.1,0.6,40,TIMEOUT,0,0,0,1,12,0
0.1,0.6,41,TIMEOUT,0,0,0,1,12,1
0.1,0.6,42,RESOURCE_TAKEN,0,1,0,0,12,0
0.1,0.6,43,TIMEOUT,0,0,0,1,12,2
0.1,0.6,44,TIMEOUT,0,0,0,1,12,1
0.1,0.6,45,TIMEOUT,0,0,0,1,12,1
0.1,0.6,46,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.6,47,TIMEOUT,0,0,0,1,12,3
0.1,0.6,48,TIMEOUT,0,0,0,1,12,0
0.1,0.6,49,TIMEOUT,0,0,0,1,12,0
0.1,0.6,50,TIMEOUT,0,0,0,1,12,0
0.1,0.6,51,TIMEOUT,0,0,0,1,12,1
0.1,0.6,52,TIMEOUT,0,0,0,1,12,0
