seed_group,agent_id,episode_idx,outcome,rescued
0,28,3,PARTNER_RESCUED,1
0,28,4,PARTNER_RESCUED,1
0,28,5,PARTNER_RESCUED,1
0,28,6,TIMEOUT,0
0,28,7,PARTNER_RESCUED,1
0,28,8,TIMEOUT,0
0,28,9,PARTNER_RESCUED,1
0,29,0,PARTNER_RESCUED,1
0,29,1,PARTNER_RESCUED,1
0,29,2,PARTNER_RESCUED,1
0,29,3,TIMEOUT,0
0,29,4,PARTNER_RESCUED,1
0,29,5,PARTNER_RESCUED,1
0,29,6,PARTNER_RESCUED,1
0,29,7,PARTNER_RESCUED,1
0,29,8,PARTNER_RESCUED,1
0,29,9,PARTNER_RESCUED,1
1,0,0,PARTNER_RESCUED,1
1,0,1,PARTNER_RESCUED,1
1,0,2,PARTNER_RESCUED,1
1,0,3,PARTNER_RESCUED,1
1,0,4,PARTNER_RESCUED,1
1,0,5,PARTNER_RESCUED,1
1,0,6,PARTNER_RESCUED,1
1,0,7,PARTNER_RESCUED,1
1,0,8,PARTNER_RESCUED,1
1,0,9,PARTNER_RESCUED,1
1,1,0,PARTNER_RESCUED,1
1,1,1,PARTNER_RESCUED,1
1,1,2,PARTNER_RESCUED,1
1,1,3,PARTNER_RESCUED,1
1,1,4,PARTNER_RESCUED,1
1,1,5,PARTNER_RESCUED,1
1,1,6,PARTNER_RESCUED,1
1,1,7,PARTNER_RESCUED,1
1,1,8,PARTNER_RESCUED,1
1,1,9,TIMEOUT,0
1,2,0,PARTNER_RESCUED,1
1,2,1,TIMEOUT,0
1,2,2,TIMEOUT,0
1,2,3,PARTNER_RESCUED,1
1,2,4,PARTNER_RESCUED,1
1,2,5,PARTNER_RESCUED,1
1,2,6,PARTNER_RESCUED,1
1,2,7,PARTNER_RESCUED,1
1,2,8,PARTNER_RESCUED,1
1,2,9,PARTNER_RESCUED,1
1,3,0,PARTNER_RESCUED,1
1,3,1,PARTNER_RESCUED,1
1,3,2,PARTNER_RESCUED,1
1,3,3,TIMEOUT,0
1,3,4,PARTNER_RESCUED,1
1,3,5,PARTNER_RESCUED,1
1,3,6,PARTNER_RESCUED,1
1,3,7,PARTNER_RESCUED,1
1,3,8,PARTNER_RESCUED,1
1,3,9,PARTNER_RESCUED,1
1,4,0,PARTNER_RESCUED,1
1,4,1,PARTNER_DEAD,0
1,4,2,PARTNER_RESCUED,1
1,4,3,PARTNER_RESCUED,1
1,4,4,PARTNER_RESCUED,1
1,4,5,PARTNER_RESCUED,1
1,4,6,PARTNER_RESCUED,1
1,4,7,PARTNER_RESCUED,1
1,4,8,PARTNER_RESCUED,1
1,4,9,PARTNER_RESCUED,1
1,5,0,PARTNER_RESCUED,1
1,5,1,PARTNER_RESCUED,1
1,5,2,PARTNER_RESCUED,1
1,5,3,PARTNER_RESCUED,1
1,5,4,PARTNER_RESCUED,1
1,5,5,PARTNER_RESCUED,1
1,5,6,PARTNER_RESCUED,1
1,5,7,PARTNER_RESCUED,1
1,5,8,PARTNER_RESCUED,1
1,5,9,PARTNER_RESCUED,1
1,6,0,PARTNER_RESCUED,1
1,6,1,PARTNER_RESCUED,1
1,6,2,TIMEOUT,0
1,6,3,TIMEOUT,0
1,6,4,TIMEOUT,0
1,6,5,PARTNER_RESCUED,1
1,6,6,PARTNER_RESCUED,1
1,6,7,PARTNER_RESCUED,1
1,6,8,PARTNER_RESCUED,1
1,6,9,PARTNER_RESCUED,1
1,7,0,PARTNER_RESCUED,1
1,7,1,PARTNER_RESCUED,1
1,7,2,PARTNER_RESCUED,1
1,7,3,PARTNER_RESCUED,1
1,7,4,PARTNER_RESCUED,1
1,7,5,PARTNER_RESCUED,1
1,7,6,PARTNER_RESCUED,1
1,7,7,PARTNER_RESCUED,1
1,7,8,PARTNER_RESCUED,1
1,7,9,TIMEOUT,0
1,8,0,PARTNER_RESCUED,1
1,8,1,TIMEOUT,0
1,8,2,PARTNER_RESCUED,1
1,8,3,PARTNER_RESCUED,1
1,8,4,PARTNER_RESCUED,1
1,8,5,PARTNER_RESCUED,1
1,8,6,PARTNER_RESCUED,1
1,8,7,PARTNER_RESCUED,1
1,8,8,RESOURCE_TAKEN,0
1,8,9,TIMEOUT,0
1,9,0,PARTNER_RESCUED,1
1,9,1,PARTNER_RESCUED,1
1,9,2,PARTNER_RESCUED,1
1,9,3,TIMEOUT,0
1,9,4,TIMEOUT,0
1,9,5,PARTNER_RESCUED,1
1,9,6,PARTNER_RESCUED,1
1,9,7,PARTNER_RESCUED,1
1,9,8,PARTNER_RESCUED,1
1,9,9,PARTNER_RESCUED,1
1,10,0,PARTNER_RESCUED,1
1,10,1,PARTNER_RESCUED,1
1,10,2,PARTNER_RESCUED,1
1,10,3,PARTNER_RESCUED,1
1,10,4,TIMEOUT,0
1,10,5,PARTNER_RESCUED,1
1,10,6,PARTNER_RESCUED,1
1,10,7,PARTNER_RESCUED,1
1,10,8,TIMEOUT,0
1,10,9,RESOURCE_TAKEN,0
1,11,0,PARTNER_RESCUED,1
1,11,1,PARTNER_RESCUED,1
1,11,2,TIMEOUT,0
1,11,3,PARTNER_RESCUED,1
1,11,4,PARTNER_RESCUED,1
1,11,5,PARTNER_RESCUED,1
1,11,6,PARTNER_RESCUED,1
1,11,7,PARTNER_RESCUED,1
1,11,8,PARTNER_RESCUED,1
1,11,9,PARTNER_RESCUED,1
1,12,0,PARTNER_RESCUED,1
1,12,1,TIMEOUT,0
1,12,2,TIMEOUT,0
1,12,3,PARTNER_RESCUED,1
1,12,4,PARTNER_RESCUED,1
1,12,5,PARTNER_RESCUED,1
1,12,6,PARTNER_RESCUED,1
1,12,7,PARTNER_RESCUED,1
1,12,8,PARTNER_RESCUED,1
1,12,9,TIMEOUT,0
1,13,0,PARTNER_RESCUED,1
1,13,1,TIMEOUT,0
1,13,2,PARTNER_RESCUED,1
1,13,3,PARTNER_RESCUED,1
1,13,4,TIMEOUT,0
1,13,5,TIMEOUT,0
1,13,6,PARTNER_RESCUED,1
1,13,7,PARTNER_RESCUED,1
1,13,8,PARTNER_RESCUED,1
1,13,9,PARTNER_RESCUED,1
1,14,0,PARTNER_RESCUED,1
1,14,1,PARTNER_RESCUED,1
1,14,2,PARTNER_RESCUED,1
1,14,3,PARTNER_RESCUED,1
1,14,4,TIMEOUT,0
1,14,5,PARTNER_RESCUED,1
1,14,6,PARTNER_RESCUED,1
1,14,7,PARTNER_RESCUED,1
1,14,8,PARTNER_RESCUED,1
1,14,9,PARTNER_RESCUED,1
1,15,0,PARTNER_RESCUED,1
1,15,1,PARTNER_RESCUED,1
1,15,2,PARTNER_RESCUED,1
1,15,3,PARTNER_RESCUED,1
1,15,4,PARTNER_RESCUED,1
1,15,5,PARTNER_RESCUED,1
1,15,6,PARTNER_RESCUED,1
1,15,7,PARTNER_RESCUED,1
1,15,8,PARTNER_RESCUED,1
1,15,9,PARTNER_RESCUED,1
1,16,0,PARTNER_RESCUED,1
1,16,1,PARTNER_RESCUED,1
1,16,2,PARTNER_RESCUED,1
1,16,3,PARTNER_RESCUED,1
1,16,4,TIMEOUT,0
