rescue_importance,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.0,13,7,TIMEOUT,0,9,0
0.0,13,8,TIMEOUT,0,10,1
0.0,13,9,TIMEOUT,0,11,0
0.0,14,0,PARTNER_RESCUED,1,2,0
0.0,14,1,TIMEOUT,0,3,1
0.0,14,2,TIMEOUT,0,4,1
0.0,14,3,TIMEOUT,0,5,1
0.0,14,4,TIMEOUT,0,6,1
0.0,14,5,TIMEOUT,0,7,2
0.0,14,6,TIMEOUT,0,8,0
0.0,14,7,TIMEOUT,0,9,4
0.0,14,8,TIMEOUT,0,10,1
0.0,14,9,TIMEOUT,0,11,1
0.0,15,0,PARTNER_RESCUED,1,2,0
0.0,15,1,TIMEOUT,0,3,1
0.0,15,2,TIMEOUT,0,4,1
0.0,15,3,TIMEOUT,0,5,1
0.0,15,4,TIMEOUT,0,6,0
0.0,15,5,TIMEOUT,0,7,0
0.0,15,6,TIMEOUT,0,8,2
0.0,15,7,TIMEOUT,0,9,1
0.0,15,8,TIMEOUT,0,10,1
0.0,15,9,TIMEOUT,0,11,1
0.0,16,0,PARTNER_RESCUED,1,2,0
0.0,16,1,TIMEOUT,0,3,1
0.0,16,2,TIMEOUT,0,4,0
0.0,16,3,TIMEOUT,0,5,1
0.0,16,4,TIMEOUT,0,6,0
0.0,16,5,TIMEOUT,0,7,0
0.0,16,6,RESOURCE_TAKEN,0,8,0
0.0,16,7,PARTNER_RESCUED,1,9,0
0.0,16,8,PARTNER_RESCUED,1,10,0
0.0,16,9,TIMEOUT,0,11,0
0.0,17,0,PARTNER_RESCUED,1,2,0
0.0,17,1,TIMEOUT,0,3,1
0.0,17,2,TIMEOUT,0,4,1
0.0,17,3,TIMEOUT,0,5,2
0.0,17,4,TIMEOUT,0,6,0
0.0,17,5,TIMEOUT,0,7,2
0.0,17,6,TIMEOUT,0,8,2
0.0,17,7,PARTNER_RESCUED,1,9,0
0.0,17,8,TIMEOUT,0,10,0
0.0,17,9,TIMEOUT,0,11,1
0.0,18,0,PARTNER_RESCUED,1,2,0
0.0,18,1,PARTNER_RESCUED,1,3,0
0.0,18,2,TIMEOUT,0,4,0
0.0,18,3,TIMEOUT,0,5,2
0.0,18,4,TIMEOUT,0,6,0
0.0,18,5,TIMEOUT,0,7,0
0.0,18,6,TIMEOUT,0,8,2
0.0,18,7,TIMEOUT,0,9,0
0.0,18,8,RESOURCE_TAKEN,0,10,0
0.0,18,9,PARTNER_RESCUED,1,11,0
0.0,19,0,PARTNER_RESCUED,1,2,0
0.0,19,1,TIMEOUT,0,3,1
0.0,19,2,TIMEOUT,0,4,0
0.0,19,3,PARTNER_RESCUED,1,5,0
0.0,19,4,PARTNER_RESCUED,1,6,0
0.0,19,5,TIMEOUT,0,7,1
0.0,19,6,TIMEOUT,0,8,0
0.0,19,7,TIMEOUT,0,9,2
0.0,19,8,RESOURCE_TAKEN,0,10,0
0.0,19,9,PARTNER_RESCUED,1,11,0
0.0,20,0,TIMEOUT,0,2,1
0.0,20,1,TIMEOUT,0,3,2
0.0,20,2,TIMEOUT,0,4,2
0.0,20,3,TIMEOUT,0,5,0
0.0,20,4,TIMEOUT,0,6,1
0.0,20,5,TIMEOUT,0,7,1
0.0,20,6,TIMEOUT,0,8,1
0.0,20,7,TIMEOUT,0,9,0
0.0,20,8,TIMEOUT,0,10,1
0.0,20,9,TIMEOUT,0,11,0
0.0,21,0,TIMEOUT,0,2,1
0.0,21,1,TIMEOUT,0,3,1
0.0,21,2,TIMEOUT,0,4,0
0.0,21,3,TIMEOUT,0,5,0
0.0,21,4,TIMEOUT,0,6,2
0.0,21,5,TIMEOUT,0,7,3
0.0,21,6,RESOURCE_TAKEN,0,8,0
0.0,21,7,PARTNER_RESCUED,1,9,0
0.0,21,8,PARTNER_RESCUED,1,10,0
0.0,21,9,PARTNER_RESCUED,1,11,0
0.0,22,0,PARTNER_RESCUED,1,2,0
0.0,22,1,TIMEOUT,0,3,0
0.0,22,2,TIMEOUT,0,4,2
0.0,22,3,TIMEOUT,0,5,2
0.0,22,4,TIMEOUT,0,6,0
0.0,22,5,TIMEOUT,0,7,3
0.0,22,6,RESOURCE_TAKEN,0,8,0
0.0,22,7,PARTNER_RESCUED,1,9,0
0.0,22,8,PARTNER_RESCUED,1,10,0
0.0,22,9,TIMEOUT,0,11,0
0.0,23,0,TIMEOUT,0,2,1
0.0,23,1,TIMEOUT,0,3,0
