tau,agent_id,episode_idx,outcome,steps_used,target_switches,n_memories,e_max,was_encoded
0.0,15,7,TIMEOUT,12,1,9,1.0,1
0.0,15,8,PARTNER_RESCUED,6,0,10,0.7588,1
0.0,15,9,PARTNER_RESCUED,6,0,11,0.62,1
0.0,16,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,16,1,TIMEOUT,12,0,3,1.0,1
0.0,16,2,TIMEOUT,12,0,4,0.7023,1
0.0,16,3,TIMEOUT,12,1,5,0.4925,1
0.0,16,4,TIMEOUT,12,0,6,0.4717,1
0.0,16,5,TIMEOUT,12,2,7,0.4717,1
0.0,16,6,TIMEOUT,12,2,8,0.4717,1
0.0,16,7,TIMEOUT,12,1,9,0.4717,1
0.0,16,8,TIMEOUT,12,2,10,0.4717,1
0.0,16,9,TIMEOUT,12,1,11,0.4717,1
0.0,17,0,TIMEOUT,12,1,2,1.0,1
0.0,17,1,TIMEOUT,12,1,3,0.82,1
0.0,17,2,RESOURCE_TAKEN,12,0,4,0.5964,1
0.0,17,3,PARTNER_RESCUED,6,0,5,1.0,1
0.0,17,4,TIMEOUT,12,0,6,1.0,1
0.0,17,5,TIMEOUT,12,1,7,1.0,1
0.0,17,6,TIMEOUT,12,0,8,0.7282,1
0.0,17,7,TIMEOUT,12,2,9,0.5335,1
0.0,17,8,TIMEOUT,12,2,10,0.4717,1
0.0,17,9,TIMEOUT,12,2,11,0.4717,1
0.0,18,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,18,1,TIMEOUT,12,2,3,1.0,1
0.0,18,2,TIMEOUT,12,0,4,0.6983,1
0.0,18,3,TIMEOUT,12,2,5,0.5068,1
0.0,18,4,TIMEOUT,12,2,6,0.4717,1
0.0,18,5,TIMEOUT,12,3,7,0.4717,1
0.0,18,6,TIMEOUT,12,1,8,0.4717,1
0.0,18,7,TIMEOUT,12,2,9,0.4717,1
0.0,18,8,TIMEOUT,12,0,10,0.4717,1
0.0,18,9,RESOURCE_TAKEN,10,0,11,0.3167,1
0.0,19,0,TIMEOUT,12,1,2,1.0,1
0.0,19,1,TIMEOUT,12,2,3,0.8268,1
0.0,19,2,TIMEOUT,12,0,4,0.5975,1
0.0,19,3,TIMEOUT,12,1,5,0.4717,1
0.0,19,4,TIMEOUT,12,1,6,0.4717,1
0.0,19,5,TIMEOUT,12,0,7,0.4717,1
0.0,19,6,TIMEOUT,12,2,8,0.4717,1
0.0,19,7,RESOURCE_TAKEN,10,0,9,0.3167,1
0.0,19,8,TIMEOUT,12,0,10,1.0,1
0.0,19,9,TIMEOUT,12,1,11,1.0,1
0.0,20,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,20,1,PARTNER_RESCUED,6,0,3,0.62,1
0.0,20,2,TIMEOUT,12,0,4,1.0,1
0.0,20,3,TIMEOUT,12,1,5,0.5785,1
0.0,20,4,TIMEOUT,12,0,6,0.4717,1
0.0,20,5,TIMEOUT,12,1,7,0.4717,1
0.0,20,6,TIMEOUT,12,1,8,0.4717,1
0.0,20,7,TIMEOUT,12,0,9,0.4717,1
0.0,20,8,TIMEOUT,12,1,10,0.4717,1
0.0,20,9,TIMEOUT,12,2,11,0.4717,1
0.0,21,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,21,1,PARTNER_RESCUED,6,0,3,0.62,1
0.0,21,2,TIMEOUT,12,0,4,1.0,1
0.0,21,3,TIMEOUT,12,1,5,0.5698,1
0.0,21,4,TIMEOUT,12,1,6,0.4717,1
0.0,21,5,TIMEOUT,12,1,7,0.4717,1
0.0,21,6,TIMEOUT,12,1,8,0.4717,1
0.0,21,7,TIMEOUT,12,1,9,0.4717,1
0.0,21,8,TIMEOUT,12,2,10,0.4717,1
0.0,21,9,TIMEOUT,12,1,11,0.4717,1
0.0,22,0,PARTNER_RESCUED,7,0,2,1.0,1
0.0,22,1,TIMEOUT,12,2,3,1.0,1
0.0,22,2,TIMEOUT,12,3,4,0.6584,1
0.0,22,3,TIMEOUT,12,0,5,0.5021,1
0.0,22,4,TIMEOUT,12,0,6,0.4717,1
0.0,22,5,PARTNER_RESCUED,7,0,7,0.2137,1
0.0,22,6,TIMEOUT,12,1,8,1.0,1
0.0,22,7,TIMEOUT,12,0,9,0.4717,1
0.0,22,8,TIMEOUT,12,0,10,0.4717,1
0.0,22,9,RESOURCE_TAKEN,12,0,11,0.4717,1
0.0,23,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,23,1,PARTNER_RESCUED,6,0,3,0.62,1
0.0,23,2,TIMEOUT,12,0,4,1.0,1
0.0,23,3,TIMEOUT,12,2,5,0.5728,1
0.0,23,4,TIMEOUT,12,0,6,0.4717,1
0.0,23,5,TIMEOUT,12,0,7,0.4717,1
0.0,23,6,RESOURCE_TAKEN,10,0,8,0.3167,1
0.0,23,7,PARTNER_RESCUED,6,0,9,1.0,1
0.0,23,8,PARTNER_RESCUED,6,0,10,0.62,1
0.0,23,9,TIMEOUT,12,1,11,1.0,1
0.0,24,0,PARTNER_RESCUED,7,0,2,1.0,1
