condition,sigma,seed_group,agent_id,episode_idx,outcome,rescued
control,0.0,0,21,2,PARTNER_RESCUED,1
control,0.0,0,21,3,TIMEOUT,0
control,0.0,0,21,4,TIMEOUT,0
control,0.0,0,21,5,TIMEOUT,0
control,0.0,0,21,6,TIMEOUT,0
control,0.0,0,21,7,TIMEOUT,0
control,0.0,0,21,8,TIMEOUT,0
control,0.0,0,21,9,TIMEOUT,0
control,0.0,0,21,10,TIMEOUT,0
control,0.0,0,21,11,TIMEOUT,0
control,0.0,0,21,12,TIMEOUT,0
control,0.0,0,21,13,TIMEOUT,0
control,0.0,0,21,14,PARTNER_RESCUED,1
control,0.0,0,21,15,PARTNER_RESCUED,1
control,0.0,0,21,16,PARTNER_RESCUED,1
control,0.0,0,21,17,PARTNER_RESCUED,1
control,0.0,0,21,18,TIMEOUT,0
control,0.0,0,21,19,TIMEOUT,0
control,0.0,0,22,0,PARTNER_RESCUED,1
control,0.0,0,22,1,PARTNER_RESCUED,1
control,0.0,0,22,2,PARTNER_RESCUED,1
control,0.0,0,22,3,TIMEOUT,0
control,0.0,0,22,4,PARTNER_RESCUED,1
control,0.0,0,22,5,TIMEOUT,0
control,0.0,0,22,6,PARTNER_RESCUED,1
control,0.0,0,22,7,PARTNER_RESCUED,1
control,0.0,0,22,8,PARTNER_RESCUED,1
control,0.0,0,22,9,TIMEOUT,0
control,0.0,0,22,10,TIMEOUT,0
control,0.0,0,22,11,TIMEOUT,0
control,0.0,0,22,12,TIMEOUT,0
control,0.0,0,22,13,TIMEOUT,0
control,0.0,0,22,14,TIMEOUT,0
control,0.0,0,22,15,TIMEOUT,0
control,0.0,0,22,16,TIMEOUT,0
control,0.0,0,22,17,TIMEOUT,0
control,0.0,0,22,18,TIMEOUT,0
control,0.0,0,22,19,TIMEOUT,0
control,0.0,0,23,0,PARTNER_RESCUED,1
control,0.0,0,23,1,TIMEOUT,0
control,0.0,0,23,2,PARTNER_RESCUED,1
control,0.0,0,23,3,PARTNER_RESCUED,1
control,0.0,0,23,4,TIMEOUT,0
control,0.0,0,23,5,TIMEOUT,0
control,0.0,0,23,6,TIMEOUT,0
control,0.0,0,23,7,TIMEOUT,0
control,0.0,0,23,8,TIMEOUT,0
control,0.0,0,23,9,PARTNER_RESCUED,1
control,0.0,0,23,10,TIMEOUT,0
control,0.0,0,23,11,TIMEOUT,0
control,0.0,0,23,12,TIMEOUT,0
control,0.0,0,23,13,TIMEOUT,0
control,0.0,0,23,14,PARTNER_RESCUED,1
control,0.0,0,23,15,PARTNER_RESCUED,1
control,0.0,0,23,16,PARTNER_RESCUED,1
control,0.0,0,23,17,PARTNER_RESCUED,1
control,0.0,0,23,18,PARTNER_RESCUED,1
control,0.0,0,23,19,TIMEOUT,0
control,0.0,0,24,0,PARTNER_RESCUED,1
control,0.0,0,24,1,TIMEOUT,0
control,0.0,0,24,2,PARTNER_RESCUED,1
control,0.0,0,24,3,TIMEOUT,0
control,0.0,0,24,4,TIMEOUT,0
control,0.0,0,24,5,TIMEOUT,0
control,0.0,0,24,6,TIMEOUT,0
control,0.0,0,24,7,TIMEOUT,0
control,0.0,0,24,8,TIMEOUT,0
control,0.0,0,24,9,TIMEOUT,0
control,0.0,0,24,10,TIMEOUT,0
control,0.0,0,24,11,TIMEOUT,0
control,0.0,0,24,12,TIMEOUT,0
control,0.0,0,24,13,TIMEOUT,0
control,0.0,0,24,14,TIMEOUT,0
control,0.0,0,24,15,TIMEOUT,0
control,0.0,0,24,16,TIMEOUT,0
control,0.0,0,24,17,TIMEOUT,0
control,0.0,0,24,18,TIMEOUT,0
control,0.0,0,24,19,TIMEOUT,0
control,0.0,1,0,0,PARTNER_RESCUED,1
control,0.0,1,0,1,PARTNER_RESCUED,1
control,0.0,1,0,2,TIMEOUT,0
control,0.0,1,0,3,TIMEOUT,0
control,0.0,1,0,4,TIMEOUT,0
control,0.0,1,0,5,TIMEOUT,0
control,0.0,1,0,6,PARTNER_RESCUED,1
control,0.0,1,0,7,PARTNER_RESCUED,1
control,0.0,1,0,8,TIMEOUT,0
control,0.0,1,0,9,TIMEOUT,0
control,0.0,1,0,10,TIMEOUT,0
control,0.0,1,0,11,PARTNER_RESCUED,1
control,0.0,1,0,12,PARTNER_RESCUED,1
control,0.0,1,0,13,PARTNER_RESCUED,1
control,0.0,1,0,14,PARTNER_RESCUED,1
control,0.0,1,0,15,PARTNER_RESCUED,1
control,0.0,1,0,16,TIMEOUT,0
control,0.0,1,0,17,TIMEOUT,0
control,0.0,1,0,18,TIMEOUT,0
control,0.0,1,0,19,TIMEOUT,0
control,0.0,1,1,0,PARTNER_RESCUED,1
control,0.0,1,1,1,PARTNER_RESCUED,1
control,0.0,1,1,2,PARTNER_RESCUED,1
control,0.0,1,1,3,PARTNER_RESCUED,1
control,0.0,1,1,4,PARTNER_RESCUED,1
control,0.0,1,1,5,PARTNER_RESCUED,1
control,0.0,1,1,6,PARTNER_RESCUED,1
control,0.0,1,1,7,TIMEOUT,0
control,0.0,1,1,8,TIMEOUT,0
control,0.0,1,1,9,TIMEOUT,0
control,0.0,1,1,10,TIMEOUT,0
control,0.0,1,1,11,TIMEOUT,0
control,0.0,1,1,12,PARTNER_RESCUED,1
control,0.0,1,1,13,TIMEOUT,0
control,0.0,1,1,14,TIMEOUT,0
control,0.0,1,1,15,TIMEOUT,0
control,0.0,1,1,16,TIMEOUT,0
control,0.0,1,1,17,TIMEOUT,0
control,0.0,1,1,18,PARTNER_RESCUED,1
control,0.0,1,1,19,PARTNER_RESCUED,1
control,0.0,1,2,0,PARTNER_RESCUED,1
control,0.0,1,2,1,PARTNER_RESCUED,1
control,0.0,1,2,2,PARTNER_RESCUED,1
control,0.0,1,2,3,PARTNER_RESCUED,1
control,0.0,1,2,4,PARTNER_RESCUED,1
control,0.0,1,2,5,PARTNER_RESCUED,1
control,0.0,1,2,6,PARTNER_RESCUED,1
control,0.0,1,2,7,PARTNER_RESCUED,1
control,0.0,1,2,8,PARTNER_RESCUED,1
control,0.0,1,2,9,PARTNER_RESCUED,1
