inject_mode,beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0.05,0.05,1.0,37,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,37,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,38,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,38,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,38,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,38,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,39,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,39,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,39,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,39,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,40,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,40,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,40,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,40,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,41,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,41,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,41,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,41,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,42,0,TIMEOUT,0,2,0
off,0.05,0.05,1.0,42,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,42,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,42,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,43,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,43,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,43,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,43,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,44,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,44,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,44,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,44,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,45,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,45,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,45,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,45,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,46,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,46,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,46,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,46,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,47,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,47,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,47,2,TIMEOUT,0,4,2
off,0.05,0.05,1.0,47,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,48,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,48,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,48,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,48,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,49,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,49,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,49,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,49,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,50,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,50,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,50,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,50,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,51,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,51,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,51,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,51,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,52,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,52,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,52,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,52,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,53,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,53,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,53,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,53,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,54,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,54,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,54,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,54,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,55,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,55,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,55,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,55,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,56,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,56,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,56,2,PARTNER_DEAD,0,4,0
off,0.05,0.05,1.0,56,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,57,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,57,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,57,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,57,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,58,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,58,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,58,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,58,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,59,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,59,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,59,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,59,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,60,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,60,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,60,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,60,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,61,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,61,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,61,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,61,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,62,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,62,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,62,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,62,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,63,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,63,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,63,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,63,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,64,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,64,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,64,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,64,3,TIMEOUT,0,5,2
