inject_mode,beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0.05,0.05,1.0,12,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,13,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,13,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,13,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,13,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,13,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,13,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,13,6,TIMEOUT,0,8,1
off,0.05,0.05,1.0,13,7,TIMEOUT,0,9,0
off,0.05,0.05,1.0,13,8,TIMEOUT,0,10,1
off,0.05,0.05,1.0,13,9,TIMEOUT,0,11,1
off,0.05,0.05,1.0,14,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,14,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,14,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,14,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,14,4,TIMEOUT,0,6,2
off,0.05,0.05,1.0,14,5,TIMEOUT,0,7,0
off,0.05,0.05,1.0,14,6,TIMEOUT,0,8,1
off,0.05,0.05,1.0,14,7,TIMEOUT,0,9,0
off,0.05,0.05,1.0,14,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,14,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,15,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,15,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,15,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,15,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,15,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,15,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,15,6,TIMEOUT,0,8,0
off,0.05,0.05,1.0,15,7,PARTNER_DEAD,0,9,1
off,0.05,0.05,1.0,15,8,TIMEOUT,0,10,0
off,0.05,0.05,1.0,15,9,TIMEOUT,0,11,1
off,0.05,0.05,1.0,16,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,16,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,16,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,16,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,16,4,PARTNER_RESCUED,1,6,0
