sigma,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.0,6,15,TIMEOUT,0,17,0
0.0,6,16,PARTNER_RESCUED,1,18,0
0.0,6,17,PARTNER_RESCUED,1,19,0
0.0,6,18,PARTNER_RESCUED,1,20,0
0.0,6,19,PARTNER_RESCUED,1,21,0
0.0,7,0,PARTNER_RESCUED,1,2,0
0.0,7,1,PARTNER_RESCUED,1,3,0
0.0,7,2,PARTNER_RESCUED,1,4,0
0.0,7,3,PARTNER_RESCUED,1,5,0
0.0,7,4,TIMEOUT,0,6,0
0.0,7,5,TIMEOUT,0,7,2
0.0,7,6,TIMEOUT,0,8,2
0.0,7,7,PARTNER_RESCUED,1,9,0
0.0,7,8,TIMEOUT,0,10,0
0.0,7,9,TIMEOUT,0,11,2
0.0,7,10,TIMEOUT,0,12,0
0.0,7,11,TIMEOUT,0,13,1
0.0,7,12,TIMEOUT,0,14,0
0.0,7,13,TIMEOUT,0,15,1
0.0,7,14,TIMEOUT,0,16,2
0.0,7,15,TIMEOUT,0,17,2
0.0,7,16,TIMEOUT,0,18,3
0.0,7,17,TIMEOUT,0,19,2
0.0,7,18,TIMEOUT,0,20,2
0.0,7,19,TIMEOUT,0,21,2
0.0,8,0,PARTNER_RESCUED,1,2,0
0.0,8,1,TIMEOUT,0,3,1
0.0,8,2,TIMEOUT,0,4,2
0.0,8,3,TIMEOUT,0,5,0
0.0,8,4,TIMEOUT,0,6,1
0.0,8,5,TIMEOUT,0,7,1
0.0,8,6,TIMEOUT,0,8,1
0.0,8,7,TIMEOUT,0,9,0
0.0,8,8,TIMEOUT,0,10,1
0.0,8,9,TIMEOUT,0,11,0
0.0,8,10,TIMEOUT,0,12,2
0.0,8,11,TIMEOUT,0,13,1
0.0,8,12,TIMEOUT,0,14,2
0.0,8,13,TIMEOUT,0,15,1
0.0,8,14,TIMEOUT,0,16,1
0.0,8,15,TIMEOUT,0,17,1
0.0,8,16,TIMEOUT,0,18,1
0.0,8,17,TIMEOUT,0,19,2
0.0,8,18,TIMEOUT,0,20,1
0.0,8,19,TIMEOUT,0,21,2
0.0,9,0,PARTNER_RESCUED,1,2,0
0.0,9,1,PARTNER_RESCUED,1,3,0
0.0,9,2,PARTNER_RESCUED,1,4,0
0.0,9,3,TIMEOUT,0,5,1
0.0,9,4,TIMEOUT,0,6,1
0.0,9,5,TIMEOUT,0,7,0
0.0,9,6,PARTNER_RESCUED,1,8,0
0.0,9,7,PARTNER_DEAD,0,9,1
0.0,9,8,PARTNER_RESCUED,1,10,0
0.0,9,9,PARTNER_RESCUED,1,11,0
0.0,9,10,PARTNER_RESCUED,1,12,0
0.0,9,11,PARTNER_RESCUED,1,13,0
0.0,9,12,PARTNER_RESCUED,1,14,0
0.0,9,13,TIMEOUT,0,15,0
0.0,9,14,TIMEOUT,0,16,2
0.0,9,15,TIMEOUT,0,17,0
0.0,9,16,TIMEOUT,0,18,0
0.0,9,17,TIMEOUT,0,19,1
0.0,9,18,TIMEOUT,0,20,0
0.0,9,19,TIMEOUT,0,21,0
0.0,10,0,PARTNER_RESCUED,1,2,0
0.0,10,1,PARTNER_RESCUED,1,3,0
0.0,10,2,TIMEOUT,0,4,1
0.0,10,3,TIMEOUT,0,5,1
0.0,10,4,TIMEOUT,0,6,0
0.0,10,5,TIMEOUT,0,7,2
0.0,10,6,TIMEOUT,0,8,0
0.0,10,7,PARTNER_RESCUED,1,9,0
0.0,10,8,TIMEOUT,0,10,1
0.0,10,9,TIMEOUT,0,11,0
0.0,10,10,TIMEOUT,0,12,0
0.0,10,11,TIMEOUT,0,13,2
0.0,10,12,TIMEOUT,0,14,1
0.0,10,13,TIMEOUT,0,15,2
0.0,10,14,TIMEOUT,0,16,1
0.0,10,15,TIMEOUT,0,17,0
0.0,10,16,PARTNER_RESCUED,1,18,0
0.0,10,17,TIMEOUT,0,19,1
0.0,10,18,TIMEOUT,0,20,1
0.0,10,19,TIMEOUT,0,21,2
0.0,11,0,PARTNER_RESCUED,1,2,0
0.0,11,1,PARTNER_RESCUED,1,3,0
0.0,11,2,PARTNER_RESCUED,1,4,0
0.0,11,3,TIMEOUT,0,5,0
0.0,11,4,PARTNER_RESCUED,1,6,0
0.0,11,5,TIMEOUT,0,7,1
0.0,11,6,PARTNER_RESCUED,1,8,0
0.0,11,7,TIMEOUT,0,9,1
0.0,11,8,PARTNER_RESCUED,1,10,0
0.0,11,9,PARTNER_RESCUED,1,11,0
