beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,15,1,TIMEOUT,0,3,1
0.05,0.05,15,2,TIMEOUT,0,4,0
0.05,0.05,15,3,TIMEOUT,0,5,1
0.05,0.05,15,4,TIMEOUT,0,6,0
0.05,0.05,15,5,TIMEOUT,0,7,1
0.05,0.05,15,6,TIMEOUT,0,8,0
0.05,0.05,15,7,TIMEOUT,0,9,2
0.05,0.05,15,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,15,9,PARTNER_RESCUED,1,11,0
0.05,0.05,16,0,PARTNER_RESCUED,1,2,0
0.05,0.05,16,1,PARTNER_RESCUED,1,3,0
0.05,0.05,16,2,TIMEOUT,0,4,2
0.05,0.05,16,3,TIMEOUT,0,5,1
0.05,0.05,16,4,TIMEOUT,0,6,0
0.05,0.05,16,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,16,6,TIMEOUT,0,8,1
0.05,0.05,16,7,PARTNER_RESCUED,1,9,0
0.05,0.05,16,8,TIMEOUT,0,10,0
0.05,0.05,16,9,TIMEOUT,0,11,1
0.05,0.05,17,0,PARTNER_RESCUED,1,2,0
0.05,0.05,17,1,PARTNER_RESCUED,1,3,0
0.05,0.05,17,2,TIMEOUT,0,4,0
0.05,0.05,17,3,TIMEOUT,0,5,2
0.05,0.05,17,4,TIMEOUT,0,6,0
0.05,0.05,17,5,TIMEOUT,0,7,0
0.05,0.05,17,6,TIMEOUT,0,8,0
0.05,0.05,17,7,TIMEOUT,0,9,2
0.05,0.05,17,8,TIMEOUT,0,10,2
0.05,0.05,17,9,TIMEOUT,0,11,1
0.05,0.05,18,0,PARTNER_RESCUED,1,2,0
0.05,0.05,18,1,TIMEOUT,0,3,0
0.05,0.05,18,2,TIMEOUT,0,4,1
0.05,0.05,18,3,TIMEOUT,0,5,0
0.05,0.05,18,4,TIMEOUT,0,6,0
0.05,0.05,18,5,TIMEOUT,0,7,0
0.05,0.05,18,6,TIMEOUT,0,8,0
0.05,0.05,18,7,RESOURCE_TAKEN,0,9,1
0.05,0.05,18,8,PARTNER_RESCUED,1,10,0
0.05,0.05,18,9,TIMEOUT,0,11,1
0.05,0.05,19,0,TIMEOUT,0,2,1
0.05,0.05,19,1,TIMEOUT,0,3,2
0.05,0.05,19,2,TIMEOUT,0,4,2
0.05,0.05,19,3,TIMEOUT,0,5,1
0.05,0.05,19,4,TIMEOUT,0,6,1
0.05,0.05,19,5,TIMEOUT,0,7,0
0.05,0.05,19,6,TIMEOUT,0,8,1
0.05,0.05,19,7,RESOURCE_TAKEN,0,9,2
0.05,0.05,19,8,PARTNER_RESCUED,1,10,0
0.05,0.05,19,9,PARTNER_RESCUED,1,11,0
0.05,0.05,20,0,PARTNER_RESCUED,1,2,0
0.05,0.05,20,1,TIMEOUT,0,3,0
0.05,0.05,20,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,20,3,TIMEOUT,0,5,1
0.05,0.05,20,4,TIMEOUT,0,6,0
0.05,0.05,20,5,TIMEOUT,0,7,2
0.05,0.05,20,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,20,7,PARTNER_RESCUED,1,9,0
0.05,0.05,20,8,PARTNER_RESCUED,1,10,0
0.05,0.05,20,9,TIMEOUT,0,11,0
0.05,0.05,21,0,TIMEOUT,0,2,1
0.05,0.05,21,1,TIMEOUT,0,3,1
0.05,0.05,21,2,TIMEOUT,0,4,2
0.05,0.05,21,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,21,4,PARTNER_RESCUED,1,6,0
0.05,0.05,21,5,PARTNER_RESCUED,1,7,0
0.05,0.05,21,6,TIMEOUT,0,8,2
0.05,0.05,21,7,TIMEOUT,0,9,0
