mode,beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories
off,0.05,0.3,20,5,TIMEOUT,0,7
off,0.05,0.3,20,6,PARTNER_RESCUED,1,8
off,0.05,0.3,20,7,TIMEOUT,0,9
off,0.05,0.3,20,8,TIMEOUT,0,10
off,0.05,0.3,20,9,TIMEOUT,0,11
off,0.05,0.3,21,0,PARTNER_RESCUED,1,2
off,0.05,0.3,21,1,TIMEOUT,0,3
off,0.05,0.3,21,2,TIMEOUT,0,4
off,0.05,0.3,21,3,PARTNER_RESCUED,1,5
off,0.05,0.3,21,4,PARTNER_RESCUED,1,6
off,0.05,0.3,21,5,TIMEOUT,0,7
off,0.05,0.3,21,6,TIMEOUT,0,8
off,0.05,0.3,21,7,TIMEOUT,0,9
off,0.05,0.3,21,8,TIMEOUT,0,10
off,0.05,0.3,21,9,TIMEOUT,0,11
off,0.05,0.3,22,0,PARTNER_RESCUED,1,2
off,0.05,0.3,22,1,TIMEOUT,0,3
off,0.05,0.3,22,2,PARTNER_RESCUED,1,4
off,0.05,0.3,22,3,TIMEOUT,0,5
off,0.05,0.3,22,4,TIMEOUT,0,6
off,0.05,0.3,22,5,TIMEOUT,0,7
off,0.05,0.3,22,6,TIMEOUT,0,8
off,0.05,0.3,22,7,PARTNER_RESCUED,1,9
off,0.05,0.3,22,8,TIMEOUT,0,10
off,0.05,0.3,22,9,PARTNER_RESCUED,1,11
off,0.05,0.3,23,0,PARTNER_RESCUED,1,2
off,0.05,0.3,23,1,TIMEOUT,0,3
off,0.05,0.3,23,2,PARTNER_RESCUED,1,4
off,0.05,0.3,23,3,TIMEOUT,0,5
off,0.05,0.3,23,4,TIMEOUT,0,6
off,0.05,0.3,23,5,PARTNER_RESCUED,1,7
off,0.05,0.3,23,6,TIMEOUT,0,8
off,0.05,0.3,23,7,PARTNER_RESCUED,1,9
off,0.05,0.3,23,8,PARTNER_DEAD,0,10
off,0.05,0.3,23,9,PARTNER_RESCUED,1,11
off,0.05,0.3,24,0,TIMEOUT,0,2
off,0.05,0.3,24,1,TIMEOUT,0,3
off,0.05,0.3,24,2,PARTNER_RESCUED,1,4
off,0.05,0.3,24,3,TIMEOUT,0,5
off,0.05,0.3,24,4,TIMEOUT,0,6
off,0.05,0.3,24,5,TIMEOUT,0,7
