mode,beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories
off,0.05,0.1,21,2,TIMEOUT,0,4
off,0.05,0.1,21,3,TIMEOUT,0,5
off,0.05,0.1,21,4,PARTNER_RESCUED,1,6
off,0.05,0.1,21,5,PARTNER_RESCUED,1,7
off,0.05,0.1,21,6,TIMEOUT,0,8
off,0.05,0.1,21,7,TIMEOUT,0,9
off,0.05,0.1,21,8,TIMEOUT,0,10
off,0.05,0.1,21,9,TIMEOUT,0,11
off,0.05,0.1,22,0,PARTNER_RESCUED,1,2
off,0.05,0.1,22,1,TIMEOUT,0,3
off,0.05,0.1,22,2,PARTNER_RESCUED,1,4
off,0.05,0.1,22,3,TIMEOUT,0,5
off,0.05,0.1,22,4,TIMEOUT,0,6
off,0.05,0.1,22,5,TIMEOUT,0,7
off,0.05,0.1,22,6,PARTNER_RESCUED,1,8
off,0.05,0.1,22,7,PARTNER_RESCUED,1,9
off,0.05,0.1,22,8,PARTNER_RESCUED,1,10
off,0.05,0.1,22,9,TIMEOUT,0,11
off,0.05,0.1,23,0,PARTNER_RESCUED,1,2
off,0.05,0.1,23,1,TIMEOUT,0,3
off,0.05,0.1,23,2,TIMEOUT,0,4
off,0.05,0.1,23,3,PARTNER_RESCUED,1,5
off,0.05,0.1,23,4,PARTNER_RESCUED,1,6
off,0.05,0.1,23,5,TIMEOUT,0,7
off,0.05,0.1,23,6,TIMEOUT,0,8
off,0.05,0.1,23,7,PARTNER_RESCUED,1,9
off,0.05,0.1,23,8,PARTNER_RESCUED,1,10
off,0.05,0.1,23,9,TIMEOUT,0,11
off,0.05,0.1,24,0,PARTNER_RESCUED,1,2
off,0.05,0.1,24,1,PARTNER_RESCUED,1,3
off,0.05,0.1,24,2,TIMEOUT,0,4
off,0.05,0.1,24,3,TIMEOUT,0,5
off,0.05,0.1,24,4,TIMEOUT,0,6
off,0.05,0.1,24,5,PARTNER_RESCUED,1,7
off,0.05,0.1,24,6,TIMEOUT,0,8
off,0.05,0.1,24,7,TIMEOUT,0,9
off,0.05,0.1,24,8,TIMEOUT,0,10
off,0.05,0.1,24,9,PARTNER_RESCUED,1,11
off,0.05,0.1,25,0,PARTNER_RESCUED,1,2
off,0.05,0.1,25,1,TIMEOUT,0,3
off,0.05,0.1,25,2,PARTNER_RESCUED,1,4
off,0.05,0.1,25,3,TIMEOUT,0,5
off,0.05,0.1,25,4,TIMEOUT,0,6
off,0.05,0.1,25,5,PARTNER_RESCUED,1,7
off,0.05,0.1,25,6,TIMEOUT,0,8
off,0.05,0.1,25,7,TIMEOUT,0,9
off,0.05,0.1,25,8,TIMEOUT,0,10
off,0.05,0.1,25,9,TIMEOUT,0,11
off,0.05,0.1,26,0,PARTNER_RESCUED,1,2
off,0.05,0.1,26,1,TIMEOUT,0,3
off,0.05,0.1,26,2,PARTNER_RESCUED,1,4
off,0.05,0.1,26,3,TIMEOUT,0,5
off,0.05,0.1,26,4,TIMEOUT,0,6
off,0.05,0.1,26,5,PARTNER_RESCUED,1,7
off,0.05,0.1,26,6,PARTNER_RESCUED,1,8
off,0.05,0.1,26,7,TIMEOUT,0,9
off,0.05,0.1,26,8,PARTNER_RESCUED,1,10
off,0.05,0.1,26,9,PARTNER_RESCUED,1,11
off,0.05,0.1,27,0,PARTNER_RESCUED,1,2
off,0.05,0.1,27,1,TIMEOUT,0,3
off,0.05,0.1,27,2,PARTNER_RESCUED,1,4
off,0.05,0.1,27,3,PARTNER_RESCUED,1,5
off,0.05,0.1,27,4,TIMEOUT,0,6
off,0.05,0.1,27,5,TIMEOUT,0,7
off,0.05,0.1,27,6,TIMEOUT,0,8
off,0.05,0.1,27,7,PARTNER_RESCUED,1,9
off,0.05,0.1,27,8,TIMEOUT,0,10
off,0.05,0.1,27,9,PARTNER_RESCUED,1,11
off,0.05,0.1,28,0,PARTNER_RESCUED,1,2
off,0.05,0.1,28,1,PARTNER_DEAD,0,3
off,0.05,0.1,28,2,PARTNER_RESCUED,1,4
off,0.05,0.1,28,3,PARTNER_RESCUED,1,5
off,0.05,0.1,28,4,TIMEOUT,0,6
off,0.05,0.1,28,5,TIMEOUT,0,7
off,0.05,0.1,28,6,TIMEOUT,0,8
off,0.05,0.1,28,7,TIMEOUT,0,9
off,0.05,0.1,28,8,TIMEOUT,0,10
off,0.05,0.1,28,9,PARTNER_RESCUED,1,11
off,0.05,0.1,29,0,TIMEOUT,0,2
off,0.05,0.1,29,1,TIMEOUT,0,3
off,0.05,0.1,29,2,PARTNER_RESCUED,1,4
off,0.05,0.1,29,3,TIMEOUT,0,5
