condition,mem_capacity,encoding_jitter,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
baseline,9999,0.0,36,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,36,1,TIMEOUT,0,3,1
baseline,9999,0.0,36,2,TIMEOUT,0,4,0
baseline,9999,0.0,36,3,TIMEOUT,0,5,3
baseline,9999,0.0,36,4,TIMEOUT,0,6,2
baseline,9999,0.0,36,5,TIMEOUT,0,7,3
baseline,9999,0.0,36,6,TIMEOUT,0,8,2
baseline,9999,0.0,36,7,TIMEOUT,0,9,1
baseline,9999,0.0,36,8,TIMEOUT,0,10,0
baseline,9999,0.0,36,9,TIMEOUT,0,11,2
baseline,9999,0.0,37,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,37,1,TIMEOUT,0,3,2
baseline,9999,0.0,37,2,TIMEOUT,0,4,0
baseline,9999,0.0,37,3,TIMEOUT,0,5,2
baseline,9999,0.0,37,4,TIMEOUT,0,6,3
baseline,9999,0.0,37,5,TIMEOUT,0,7,2
baseline,9999,0.0,37,6,TIMEOUT,0,8,0
baseline,9999,0.0,37,7,TIMEOUT,0,9,0
baseline,9999,0.0,37,8,TIMEOUT,0,10,1
baseline,9999,0.0,37,9,TIMEOUT,0,11,1
baseline,9999,0.0,38,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,38,1,TIMEOUT,0,3,1
baseline,9999,0.0,38,2,TIMEOUT,0,4,4
baseline,9999,0.0,38,3,TIMEOUT,0,5,1
baseline,9999,0.0,38,4,TIMEOUT,0,6,1
baseline,9999,0.0,38,5,TIMEOUT,0,7,0
baseline,9999,0.0,38,6,TIMEOUT,0,8,1
baseline,9999,0.0,38,7,TIMEOUT,0,9,1
baseline,9999,0.0,38,8,TIMEOUT,0,10,1
baseline,9999,0.0,38,9,RESOURCE_TAKEN,0,11,0
baseline,9999,0.0,39,0,TIMEOUT,0,2,1
baseline,9999,0.0,39,1,TIMEOUT,0,3,3
baseline,9999,0.0,39,2,TIMEOUT,0,4,2
baseline,9999,0.0,39,3,TIMEOUT,0,5,2
baseline,9999,0.0,39,4,TIMEOUT,0,6,1
baseline,9999,0.0,39,5,TIMEOUT,0,7,2
baseline,9999,0.0,39,6,TIMEOUT,0,8,2
baseline,9999,0.0,39,7,TIMEOUT,0,9,1
baseline,9999,0.0,39,8,TIMEOUT,0,10,2
baseline,9999,0.0,39,9,TIMEOUT,0,11,2
baseline,9999,0.0,40,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,40,1,TIMEOUT,0,3,1
baseline,9999,0.0,40,2,TIMEOUT,0,4,2
baseline,9999,0.0,40,3,TIMEOUT,0,5,0
baseline,9999,0.0,40,4,TIMEOUT,0,6,2
baseline,9999,0.0,40,5,PARTNER_RESCUED,1,7,0
baseline,9999,0.0,40,6,PARTNER_RESCUED,1,8,0
baseline,9999,0.0,40,7,TIMEOUT,0,9,0
baseline,9999,0.0,40,8,TIMEOUT,0,10,1
baseline,9999,0.0,40,9,TIMEOUT,0,11,2
baseline,9999,0.0,41,0,TIMEOUT,0,2,0
baseline,9999,0.0,41,1,TIMEOUT,0,3,0
baseline,9999,0.0,41,2,TIMEOUT,0,4,2
baseline,9999,0.0,41,3,TIMEOUT,0,5,0
baseline,9999,0.0,41,4,TIMEOUT,0,6,2
baseline,9999,0.0,41,5,TIMEOUT,0,7,0
baseline,9999,0.0,41,6,TIMEOUT,0,8,1
baseline,9999,0.0,41,7,TIMEOUT,0,9,1
baseline,9999,0.0,41,8,RESOURCE_TAKEN,0,10,0
baseline,9999,0.0,41,9,PARTNER_DEAD,0,11,0
baseline,9999,0.0,42,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,42,1,TIMEOUT,0,3,1
baseline,9999,0.0,42,2,TIMEOUT,0,4,2
baseline,9999,0.0,42,3,TIMEOUT,0,5,2
baseline,9999,0.0,42,4,TIMEOUT,0,6,2
baseline,9999,0.0,42,5,TIMEOUT,0,7,2
baseline,9999,0.0,42,6,TIMEOUT,0,8,2
baseline,9999,0.0,42,7,TIMEOUT,0,9,0
baseline,9999,0.0,42,8,TIMEOUT,0,10,0
baseline,9999,0.0,42,9,TIMEOUT,0,11,1
baseline,9999,0.0,43,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,43,1,TIMEOUT,0,3,1
baseline,9999,0.0,43,2,TIMEOUT,0,4,2
baseline,9999,0.0,43,3,TIMEOUT,0,5,1
baseline,9999,0.0,43,4,TIMEOUT,0,6,0
baseline,9999,0.0,43,5,TIMEOUT,0,7,1
baseline,9999,0.0,43,6,TIMEOUT,0,8,1
baseline,9999,0.0,43,7,TIMEOUT,0,9,1
baseline,9999,0.0,43,8,TIMEOUT,0,10,0
baseline,9999,0.0,43,9,RESOURCE_TAKEN,0,11,0
baseline,9999,0.0,44,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,44,1,TIMEOUT,0,3,2
baseline,9999,0.0,44,2,TIMEOUT,0,4,1
baseline,9999,0.0,44,3,TIMEOUT,0,5,2
baseline,9999,0.0,44,4,TIMEOUT,0,6,2
baseline,9999,0.0,44,5,TIMEOUT,0,7,0
baseline,9999,0.0,44,6,TIMEOUT,0,8,0
baseline,9999,0.0,44,7,TIMEOUT,0,9,0
baseline,9999,0.0,44,8,RESOURCE_TAKEN,0,10,1
baseline,9999,0.0,44,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,45,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,45,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,45,2,PARTNER_RESCUED,1,4,0
baseline,9999,0.0,45,3,PARTNER_DEAD,0,5,0
baseline,9999,0.0,45,4,PARTNER_RESCUED,1,6,0
baseline,9999,0.0,45,5,PARTNER_RESCUED,1,7,0
baseline,9999,0.0,45,6,TIMEOUT,0,8,0
baseline,9999,0.0,45,7,PARTNER_RESCUED,1,9,0
