mode,beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories
off,0.05,0.05,21,3,TIMEOUT,0,5
off,0.05,0.05,21,4,PARTNER_DEAD,0,6
off,0.05,0.05,21,5,PARTNER_RESCUED,1,7
off,0.05,0.05,21,6,TIMEOUT,0,8
off,0.05,0.05,21,7,TIMEOUT,0,9
off,0.05,0.05,21,8,TIMEOUT,0,10
off,0.05,0.05,21,9,TIMEOUT,0,11
off,0.05,0.05,22,0,PARTNER_RESCUED,1,2
off,0.05,0.05,22,1,TIMEOUT,0,3
off,0.05,0.05,22,2,TIMEOUT,0,4
off,0.05,0.05,22,3,TIMEOUT,0,5
off,0.05,0.05,22,4,TIMEOUT,0,6
off,0.05,0.05,22,5,TIMEOUT,0,7
off,0.05,0.05,22,6,TIMEOUT,0,8
off,0.05,0.05,22,7,TIMEOUT,0,9
off,0.05,0.05,22,8,TIMEOUT,0,10
off,0.05,0.05,22,9,TIMEOUT,0,11
off,0.05,0.05,23,0,TIMEOUT,0,2
off,0.05,0.05,23,1,TIMEOUT,0,3
off,0.05,0.05,23,2,TIMEOUT,0,4
off,0.05,0.05,23,3,PARTNER_RESCUED,1,5
off,0.05,0.05,23,4,PARTNER_RESCUED,1,6
off,0.05,0.05,23,5,PARTNER_RESCUED,1,7
off,0.05,0.05,23,6,PARTNER_RESCUED,1,8
off,0.05,0.05,23,7,TIMEOUT,0,9
off,0.05,0.05,23,8,TIMEOUT,0,10
off,0.05,0.05,23,9,PARTNER_RESCUED,1,11
off,0.05,0.05,24,0,PARTNER_RESCUED,1,2
off,0.05,0.05,24,1,TIMEOUT,0,3
off,0.05,0.05,24,2,TIMEOUT,0,4
off,0.05,0.05,24,3,TIMEOUT,0,5
off,0.05,0.05,24,4,TIMEOUT,0,6
off,0.05,0.05,24,5,TIMEOUT,0,7
off,0.05,0.05,24,6,TIMEOUT,0,8
off,0.05,0.05,24,7,PARTNER_RESCUED,1,9
off,0.05,0.05,24,8,PARTNER_RESCUED,1,10
off,0.05,0.05,24,9,PARTNER_RESCUED,1,11
off,0.05,0.05,25,0,PARTNER_RESCUED,1,2
off,0.05,0.05,25,1,TIMEOUT,0,3
off,0.05,0.05,25,2,TIMEOUT,0,4
off,0.05,0.05,25,3,TIMEOUT,0,5
off,0.05,0.05,25,4,TIMEOUT,0,6
off,0.05,0.05,25,5,PARTNER_RESCUED,1,7
off,0.05,0.05,25,6,TIMEOUT,0,8
off,0.05,0.05,25,7,TIMEOUT,0,9
off,0.05,0.05,25,8,PARTNER_RESCUED,1,10
off,0.05,0.05,25,9,TIMEOUT,0,11
off,0.05,0.05,26,0,TIMEOUT,0,2
off,0.05,0.05,26,1,TIMEOUT,0,3
off,0.05,0.05,26,2,TIMEOUT,0,4
off,0.05,0.05,26,3,TIMEOUT,0,5
off,0.05,0.05,26,4,PARTNER_RESCUED,1,6
off,0.05,0.05,26,5,PARTNER_RESCUED,1,7
off,0.05,0.05,26,6,TIMEOUT,0,8
off,0.05,0.05,26,7,TIMEOUT,0,9
off,0.05,0.05,26,8,PARTNER_RESCUED,1,10
off,0.05,0.05,26,9,TIMEOUT,0,11
off,0.05,0.05,27,0,PARTNER_RESCUED,1,2
off,0.05,0.05,27,1,TIMEOUT,0,3
off,0.05,0.05,27,2,PARTNER_RESCUED,1,4
off,0.05,0.05,27,3,PARTNER_RESCUED,1,5
off,0.05,0.05,27,4,TIMEOUT,0,6
off,0.05,0.05,27,5,TIMEOUT,0,7
off,0.05,0.05,27,6,PARTNER_RESCUED,1,8
off,0.05,0.05,27,7,PARTNER_RESCUED,1,9
off,0.05,0.05,27,8,TIMEOUT,0,10
off,0.05,0.05,27,9,TIMEOUT,0,11
off,0.05,0.05,28,0,PARTNER_RESCUED,1,2
off,0.05,0.05,28,1,TIMEOUT,0,3
off,0.05,0.05,28,2,PARTNER_RESCUED,1,4
off,0.05,0.05,28,3,PARTNER_RESCUED,1,5
