mode,beta_guilt,beta_loyalty,agent_id,episode_idx,step,seed_impact,top1_is_seed,seed_stored_guilt,seed_stored_loyalty,seed_age
off,0.05,0.05,23,8,4,0.008928608918829456,0,0.01733644781631401,0.011557631877542671,92
off,0.05,0.05,23,8,5,0.008201006731562818,0,0.01646962542549831,0.010979750283665537,93
off,0.05,0.05,23,8,6,0.007636342677383192,0,0.01564614415422339,0.01043076276948226,94
off,0.05,0.05,23,8,7,0.008279131667953464,0,0.014863836946512221,0.009909224631008146,95
off,0.05,0.05,23,8,8,0.008151097221911924,0,0.01412064509918661,0.009413763399457738,96
off,0.05,0.05,23,8,9,0.008117409367690169,0,0.013414612844227278,0.008943075229484851,97
off,0.05,0.05,23,8,10,0.007967943903059218,0,0.012743882202015912,0.008495921468010608,98
off,0.05,0.05,23,8,11,0.007760562149540679,0,0.012106688091915117,0.008071125394610077,99
off,0.05,0.05,23,9,0,0.0062894499593256084,0,0.01150135368731936,0.007667569124879573,100
off,0.05,0.05,23,9,1,0.005979843499514117,0,0.010926286002953391,0.007284190668635594,101
off,0.05,0.05,23,9,2,0.005547640991171538,0,0.010379971702805722,0.006919981135203814,102
off,0.05,0.05,23,9,3,0.005152719544041749,0,0.009860973117665435,0.006573982078443623,103
off,0.05,0.05,23,9,4,0.004761365806869121,0,0.009367924461782163,0.006245282974521441,104
off,0.05,0.05,23,9,5,0.004406631742761237,0,0.008899528238693053,0.005933018825795369,105
off,0.05,0.05,23,9,6,0.004061564489042217,0,0.0084545518267584,0.0056363678845056,106
off,0.05,0.05,24,0,0,0.9245333822705224,1,0.9,0.6,15
off,0.05,0.05,24,0,1,0.8470749323074676,1,0.855,0.57,16
off,0.05,0.05,24,0,2,0.7586934539658721,1,0.8122499999999999,0.5415,17
off,0.05,0.05,24,0,3,0.6815287349403986,1,0.7716374999999999,0.5144249999999999,18
off,0.05,0.05,24,0,4,0.6100907063722298,1,0.7330556249999999,0.4887037499999999,19
off,0.05,0.05,24,0,5,0.5446895672899404,1,0.6964028437499998,0.46426856249999987,20
off,0.05,0.05,24,0,6,0.4907042968502017,1,0.6615827015624998,0.4410551343749999,21
off,0.05,0.05,24,1,0,0.5195910868104245,0,0.6285035664843748,0.41900237765624987,22
off,0.05,0.05,24,1,1,0.46979110469728613,0,0.597078388160156,0.39805225877343736,23
off,0.05,0.05,24,1,2,0.42581041917145934,0,0.5672244687521482,0.37814964583476546,24
off,0.05,0.05,24,1,3,0.38443728280972245,0,0.5388632453145408,0.3592421635430272,25
off,0.05,0.05,24,1,4,0.3575688842504132,0,0.5119200830488138,0.3412800553658758,26
off,0.05,0.05,24,1,5,0.32407157850206103,0,0.486324078896373,0.324216052597582,27
off,0.05,0.05,24,1,6,0.29281158399266644,0,0.4620078749515544,0.3080052499677029,28
off,0.05,0.05,24,1,7,0.3196120112837976,0,0.43890748120397666,0.29260498746931773,29
off,0.05,0.05,24,1,8,0.311682183325685,0,0.4169621071437778,0.2779747380958518,30
off,0.05,0.05,24,1,9,0.30275600507531003,0,0.3961140017865889,0.26407600119105923,31
off,0.05,0.05,24,1,10,0.2924801583172399,0,0.37630830169725943,0.25087220113150627,32
off,0.05,0.05,24,1,11,0.2805849708925297,0,0.3574928866123964,0.23832859107493093,33
off,0.05,0.05,24,2,0,0.22414750969265368,0,0.33961824228177656,0.22641216152118437,34
off,0.05,0.05,24,2,1,0.2051183759523694,0,0.3226373301676877,0.21509155344512515,35
off,0.05,0.05,24,2,2,0.18683666508941574,0,0.3065054636593033,0.20433697577286888,36
off,0.05,0.05,24,2,3,0.18079665977216416,0,0.29118019047633814,0.19412012698422543,37
off,0.05,0.05,24,2,4,0.16597294867655585,0,0.2766211809525212,0.18441412063501414,38
off,0.05,0.05,24,2,5,0.15167191374991731,0,0.26279012190489515,0.17519341460326343,39
off,0.05,0.05,24,2,6,0.1427036550136616,0,0.24965061580965037,0.16643374387310025,40
