capacity,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
2,30,7,TIMEOUT,0,2,1
2,30,8,TIMEOUT,0,2,0
2,30,9,TIMEOUT,0,2,0
2,31,0,PARTNER_RESCUED,1,2,0
2,31,1,TIMEOUT,0,2,1
2,31,2,TIMEOUT,0,2,0
2,31,3,RESOURCE_TAKEN,0,2,0
2,31,4,PARTNER_RESCUED,1,2,0
2,31,5,TIMEOUT,0,2,0
2,31,6,PARTNER_RESCUED,1,2,0
2,31,7,PARTNER_DEAD,0,2,0
2,31,8,PARTNER_RESCUED,1,2,0
2,31,9,PARTNER_RESCUED,1,2,0
2,32,0,PARTNER_RESCUED,1,2,0
2,32,1,TIMEOUT,0,2,1
2,32,2,TIMEOUT,0,2,0
2,32,3,TIMEOUT,0,2,1
2,32,4,TIMEOUT,0,2,2
2,32,5,TIMEOUT,0,2,2
2,32,6,TIMEOUT,0,2,0
2,32,7,TIMEOUT,0,2,0
2,32,8,RESOURCE_TAKEN,0,2,0
2,32,9,PARTNER_RESCUED,1,2,0
2,33,0,TIMEOUT,0,2,1
2,33,1,TIMEOUT,0,2,1
2,33,2,TIMEOUT,0,2,2
2,33,3,TIMEOUT,0,2,1
2,33,4,TIMEOUT,0,2,1
2,33,5,TIMEOUT,0,2,1
2,33,6,RESOURCE_TAKEN,0,2,0
2,33,7,PARTNER_RESCUED,1,2,0
2,33,8,PARTNER_RESCUED,1,2,0
2,33,9,TIMEOUT,0,2,2
2,34,0,PARTNER_RESCUED,1,2,0
2,34,1,TIMEOUT,0,2,0
2,34,2,TIMEOUT,0,2,2
2,34,3,RESOURCE_TAKEN,0,2,0
2,34,4,PARTNER_RESCUED,1,2,0
2,34,5,TIMEOUT,0,2,0
2,34,6,TIMEOUT,0,2,1
2,34,7,TIMEOUT,0,2,1
2,34,8,TIMEOUT,0,2,2
2,34,9,TIMEOUT,0,2,1
2,35,0,PARTNER_RESCUED,1,2,0
2,35,1,PARTNER_RESCUED,1,2,0
2,35,2,TIMEOUT,0,2,1
2,35,3,TIMEOUT,0,2,0
2,35,4,TIMEOUT,0,2,0
2,35,5,TIMEOUT,0,2,1
2,35,6,TIMEOUT,0,2,1
2,35,7,RESOURCE_TAKEN,0,2,0
2,35,8,PARTNER_RESCUED,1,2,0
2,35,9,TIMEOUT,0,2,0
2,36,0,PARTNER_RESCUED,1,2,0
2,36,1,TIMEOUT,0,2,1
2,36,2,TIMEOUT,0,2,0
2,36,3,TIMEOUT,0,2,2
2,36,4,TIMEOUT,0,2,2
2,36,5,RESOURCE_TAKEN,0,2,0
2,36,6,TIMEOUT,0,2,0
2,36,7,TIMEOUT,0,2,0
2,36,8,TIMEOUT,0,2,0
2,36,9,TIMEOUT,0,2,1
2,37,0,PARTNER_RESCUED,1,2,0
2,37,1,TIMEOUT,0,2,2
2,37,2,TIMEOUT,0,2,1
2,37,3,TIMEOUT,0,2,2
2,37,4,TIMEOUT,0,2,0
2,37,5,TIMEOUT,0,2,3
2,37,6,TIMEOUT,0,2,1
2,37,7,TIMEOUT,0,2,1
2,37,8,RESOURCE_TAKEN,0,2,0
2,37,9,PARTNER_RESCUED,1,2,0
2,38,0,PARTNER_RESCUED,1,2,0
2,38,1,TIMEOUT,0,2,2
2,38,2,RESOURCE_TAKEN,0,2,1
2,38,3,PARTNER_RESCUED,1,2,0
2,38,4,TIMEOUT,0,2,0
2,38,5,TIMEOUT,0,2,1
2,38,6,TIMEOUT,0,2,1
2,38,7,RESOURCE_TAKEN,0,2,0
2,38,8,TIMEOUT,0,2,0
2,38,9,TIMEOUT,0,2,0
2,39,0,PARTNER_RESCUED,1,2,0
2,39,1,TIMEOUT,0,2,0
2,39,2,TIMEOUT,0,2,2
2,39,3,TIMEOUT,0,2,2
2,39,4,TIMEOUT,0,2,1
2,39,5,RESOURCE_TAKEN,0,2,0
2,39,6,TIMEOUT,0,2,1
2,39,7,TIMEOUT,0,2,1
2,39,8,TIMEOUT,0,2,0
2,39,9,TIMEOUT,0,2,0
2,40,0,PARTNER_RESCUED,1,2,0
2,40,1,PARTNER_RESCUED,1,2,0
2,40,2,TIMEOUT,0,2,0
2,40,3,TIMEOUT,0,2,1
2,40,4,RESOURCE_TAKEN,0,2,0
2,40,5,TIMEOUT,0,2,1
2,40,6,TIMEOUT,0,2,0
2,40,7,TIMEOUT,0,2,0
2,40,8,TIMEOUT,0,2,2
2,40,9,TIMEOUT,0,2,0
2,41,0,PARTNER_RESCUED,1,2,0
2,41,1,TIMEOUT,0,2,0
2,41,2,TIMEOUT,0,2,0
2,41,3,TIMEOUT,0,2,0
2,41,4,TIMEOUT,0,2,2
2,41,5,TIMEOUT,0,2,2
2,41,6,TIMEOUT,0,2,1
2,41,7,TIMEOUT,0,2,0
2,41,8,PARTNER_RESCUED,1,2,0
2,41,9,TIMEOUT,0,2,2
2,42,0,PARTNER_RESCUED,1,2,0
2,42,1,TIMEOUT,0,2,1
2,42,2,TIMEOUT,0,2,0
2,42,3,RESOURCE_TAKEN,0,2,0
2,42,4,PARTNER_RESCUED,1,2,0
2,42,5,TIMEOUT,0,2,0
2,42,6,TIMEOUT,0,2,0
2,42,7,TIMEOUT,0,2,1
2,42,8,RESOURCE_TAKEN,0,2,0
2,42,9,PARTNER_RESCUED,1,2,0
2,43,0,PARTNER_RESCUED,1,2,0
2,43,1,TIMEOUT,0,2,0
2,43,2,TIMEOUT,0,2,0
2,43,3,TIMEOUT,0,2,2
2,43,4,TIMEOUT,0,2,0
2,43,5,TIMEOUT,0,2,0
2,43,6,TIMEOUT,0,2,2
2,43,7,TIMEOUT,0,2,2
2,43,8,TIMEOUT,0,2,1
2,43,9,TIMEOUT,0,2,2
2,44,0,TIMEOUT,0,2,1
2,44,1,TIMEOUT,0,2,2
2,44,2,TIMEOUT,0,2,0
2,44,3,TIMEOUT,0,2,1
2,44,4,TIMEOUT,0,2,1
2,44,5,TIMEOUT,0,2,2
2,44,6,TIMEOUT,0,2,0
2,44,7,TIMEOUT,0,2,3
2,44,8,RESOURCE_TAKEN,0,2,0
2,44,9,PARTNER_RESCUED,1,2,0
2,45,0,PARTNER_RESCUED,1,2,0
2,45,1,PARTNER_RESCUED,1,2,0
2,45,2,TIMEOUT,0,2,1
2,45,3,RESOURCE_TAKEN,0,2,0
2,45,4,PARTNER_RESCUED,1,2,0
2,45,5,PARTNER_RESCUED,1,2,0
2,45,6,TIMEOUT,0,2,2
2,45,7,TIMEOUT,0,2,0
2,45,8,TIMEOUT,0,2,2
2,45,9,TIMEOUT,0,2,3
2,46,0,PARTNER_RESCUED,1,2,0
2,46,1,TIMEOUT,0,2,1
2,46,2,TIMEOUT,0,2,0
