cell,jitter,tag_aware,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off_off,0.0,0,11,1,TIMEOUT,0,3,0
off_off,0.0,0,11,2,TIMEOUT,0,4,2
off_off,0.0,0,11,3,TIMEOUT,0,5,1
off_off,0.0,0,11,4,RESOURCE_TAKEN,0,6,0
off_off,0.0,0,11,5,PARTNER_RESCUED,1,7,0
off_off,0.0,0,11,6,TIMEOUT,0,8,0
off_off,0.0,0,11,7,TIMEOUT,0,9,0
off_off,0.0,0,11,8,RESOURCE_TAKEN,0,10,0
off_off,0.0,0,11,9,TIMEOUT,0,11,1
off_off,0.0,0,11,10,TIMEOUT,0,12,1
off_off,0.0,0,11,11,RESOURCE_TAKEN,0,13,1
off_off,0.0,0,11,12,PARTNER_RESCUED,1,14,0
off_off,0.0,0,11,13,TIMEOUT,0,15,1
off_off,0.0,0,11,14,RESOURCE_TAKEN,0,16,1
off_off,0.0,0,11,15,PARTNER_RESCUED,1,17,0
off_off,0.0,0,11,16,TIMEOUT,0,18,1
off_off,0.0,0,11,17,RESOURCE_TAKEN,0,19,1
off_off,0.0,0,11,18,TIMEOUT,0,20,0
off_off,0.0,0,11,19,RESOURCE_TAKEN,0,21,1
off_off,0.0,0,12,0,PARTNER_RESCUED,1,2,0
off_off,0.0,0,12,1,TIMEOUT,0,3,1
off_off,0.0,0,12,2,RESOURCE_TAKEN,0,4,0
off_off,0.0,0,12,3,PARTNER_RESCUED,1,5,0
off_off,0.0,0,12,4,TIMEOUT,0,6,1
off_off,0.0,0,12,5,TIMEOUT,0,7,1
off_off,0.0,0,12,6,RESOURCE_TAKEN,0,8,0
off_off,0.0,0,12,7,TIMEOUT,0,9,1
off_off,0.0,0,12,8,TIMEOUT,0,10,1
off_off,0.0,0,12,9,TIMEOUT,0,11,0
off_off,0.0,0,12,10,RESOURCE_TAKEN,0,12,0
off_off,0.0,0,12,11,TIMEOUT,0,13,1
off_off,0.0,0,12,12,RESOURCE_TAKEN,0,14,0
off_off,0.0,0,12,13,PARTNER_RESCUED,1,15,0
off_off,0.0,0,12,14,TIMEOUT,0,16,0
off_off,0.0,0,12,15,RESOURCE_TAKEN,0,17,1
off_off,0.0,0,12,16,TIMEOUT,0,18,0
off_off,0.0,0,12,17,RESOURCE_TAKEN,0,19,0
off_off,0.0,0,12,18,TIMEOUT,0,20,0
off_off,0.0,0,12,19,TIMEOUT,0,21,0
off_off,0.0,0,13,0,TIMEOUT,0,2,0
off_off,0.0,0,13,1,RESOURCE_TAKEN,0,3,0
off_off,0.0,0,13,2,PARTNER_RESCUED,1,4,0
off_off,0.0,0,13,3,TIMEOUT,0,5,1
off_off,0.0,0,13,4,TIMEOUT,0,6,2
off_off,0.0,0,13,5,TIMEOUT,0,7,2
off_off,0.0,0,13,6,RESOURCE_TAKEN,0,8,1
off_off,0.0,0,13,7,PARTNER_RESCUED,1,9,0
off_off,0.0,0,13,8,TIMEOUT,0,10,0
off_off,0.0,0,13,9,TIMEOUT,0,11,0
off_off,0.0,0,13,10,RESOURCE_TAKEN,0,12,0
off_off,0.0,0,13,11,TIMEOUT,0,13,1
off_off,0.0,0,13,12,RESOURCE_TAKEN,0,14,0
off_off,0.0,0,13,13,PARTNER_RESCUED,1,15,0
off_off,0.0,0,13,14,TIMEOUT,0,16,1
off_off,0.0,0,13,15,TIMEOUT,0,17,0
off_off,0.0,0,13,16,RESOURCE_TAKEN,0,18,2
off_off,0.0,0,13,17,PARTNER_RESCUED,1,19,0
off_off,0.0,0,13,18,TIMEOUT,0,20,0
off_off,0.0,0,13,19,TIMEOUT,0,21,1
off_off,0.0,0,14,0,PARTNER_RESCUED,1,2,0
off_off,0.0,0,14,1,TIMEOUT,0,3,0
off_off,0.0,0,14,2,TIMEOUT,0,4,0
