beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,0.5,21,4,TIMEOUT,0,6,0
0.05,0.05,0.5,21,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,0.5,21,6,TIMEOUT,0,8,0
0.05,0.05,0.5,21,7,TIMEOUT,0,9,0
0.05,0.05,0.5,21,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,0.5,21,9,TIMEOUT,0,11,2
0.05,0.05,0.5,22,0,PARTNER_RESCUED,1,2,0
0.05,0.05,0.5,22,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,22,2,PARTNER_RESCUED,1,4,0
0.05,0.05,0.5,22,3,TIMEOUT,0,5,1
0.05,0.05,0.5,22,4,TIMEOUT,0,6,0
0.05,0.05,0.5,22,5,TIMEOUT,0,7,1
0.05,0.05,0.5,22,6,TIMEOUT,0,8,0
0.05,0.05,0.5,22,7,TIMEOUT,0,9,0
0.05,0.05,0.5,22,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,0.5,22,9,TIMEOUT,0,11,0
0.05,0.05,0.5,23,0,TIMEOUT,0,2,2
0.05,0.05,0.5,23,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,23,2,TIMEOUT,0,4,1
0.05,0.05,0.5,23,3,TIMEOUT,0,5,1
0.05,0.05,0.5,23,4,TIMEOUT,0,6,0
0.05,0.05,0.5,23,5,TIMEOUT,0,7,0
0.05,0.05,0.5,23,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,0.5,23,7,TIMEOUT,0,9,0
0.05,0.05,0.5,23,8,TIMEOUT,0,10,1
0.05,0.05,0.5,23,9,TIMEOUT,0,11,0
0.05,0.05,0.5,24,0,TIMEOUT,0,2,0
0.05,0.05,0.5,24,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,24,2,TIMEOUT,0,4,0
0.05,0.05,0.5,24,3,TIMEOUT,0,5,1
0.05,0.05,0.5,24,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,0.5,24,5,PARTNER_RESCUED,1,7,0
0.05,0.05,0.5,24,6,TIMEOUT,0,8,1
0.05,0.05,0.5,24,7,TIMEOUT,0,9,1
0.05,0.05,0.5,24,8,TIMEOUT,0,10,1
0.05,0.05,0.5,24,9,TIMEOUT,0,11,1
0.05,0.05,0.5,25,0,TIMEOUT,0,2,1
0.05,0.05,0.5,25,1,TIMEOUT,0,3,0
0.05,0.05,0.5,25,2,TIMEOUT,0,4,0
0.05,0.05,0.5,25,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,0.5,25,4,TIMEOUT,0,6,0
0.05,0.05,0.5,25,5,TIMEOUT,0,7,0
0.05,0.05,0.5,25,6,RESOURCE_TAKEN,0,8,2
0.05,0.05,0.5,25,7,TIMEOUT,0,9,2
0.05,0.05,0.5,25,8,TIMEOUT,0,10,0
0.05,0.05,0.5,25,9,TIMEOUT,0,11,0
0.05,0.05,0.5,26,0,TIMEOUT,0,2,1
0.05,0.05,0.5,26,1,TIMEOUT,0,3,1
0.05,0.05,0.5,26,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,26,3,TIMEOUT,0,5,1
0.05,0.05,0.5,26,4,TIMEOUT,0,6,0
0.05,0.05,0.5,26,5,TIMEOUT,0,7,0
0.05,0.05,0.5,26,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,0.5,26,7,TIMEOUT,0,9,0
0.05,0.05,0.5,26,8,TIMEOUT,0,10,4
0.05,0.05,0.5,26,9,TIMEOUT,0,11,1
0.05,0.05,0.5,27,0,TIMEOUT,0,2,0
0.05,0.05,0.5,27,1,TIMEOUT,0,3,2
0.05,0.05,0.5,27,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,27,3,TIMEOUT,0,5,1
0.05,0.05,0.5,27,4,TIMEOUT,0,6,1
0.05,0.05,0.5,27,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,0.5,27,6,TIMEOUT,0,8,1
0.05,0.05,0.5,27,7,TIMEOUT,0,9,2
0.05,0.05,0.5,27,8,RESOURCE_TAKEN,0,10,1
0.05,0.05,0.5,27,9,TIMEOUT,0,11,2
0.05,0.05,0.5,28,0,TIMEOUT,0,2,0
0.05,0.05,0.5,28,1,TIMEOUT,0,3,1
0.05,0.05,0.5,28,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,28,3,PARTNER_DEAD,0,5,0
0.05,0.05,0.5,28,4,TIMEOUT,0,6,0
0.05,0.05,0.5,28,5,TIMEOUT,0,7,1
0.05,0.05,0.5,28,6,TIMEOUT,0,8,0
0.05,0.05,0.5,28,7,RESOURCE_TAKEN,0,9,0
0.05,0.05,0.5,28,8,TIMEOUT,0,10,0
0.05,0.05,0.5,28,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,0.5,29,0,TIMEOUT,0,2,1
0.05,0.05,0.5,29,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,29,2,TIMEOUT,0,4,2
0.05,0.05,0.5,29,3,TIMEOUT,0,5,0
0.05,0.05,0.5,29,4,TIMEOUT,0,6,0
0.05,0.05,0.5,29,5,TIMEOUT,0,7,0
0.05,0.05,0.5,29,6,RESOURCE_TAKEN,0,8,1
0.05,0.05,0.5,29,7,TIMEOUT,0,9,2
0.05,0.05,0.5,29,8,TIMEOUT,0,10,0
0.05,0.05,0.5,29,9,RESOURCE_TAKEN,0,11,1
0.05,0.05,0.5,30,0,TIMEOUT,0,2,1
0.05,0.05,0.5,30,1,TIMEOUT,0,3,0
0.05,0.05,0.5,30,2,TIMEOUT,0,4,0
0.05,0.05,0.5,30,3,TIMEOUT,0,5,2
0.05,0.05,0.5,30,4,TIMEOUT,0,6,0
0.05,0.05,0.5,30,5,TIMEOUT,0,7,0
0.05,0.05,0.5,30,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,0.5,30,7,TIMEOUT,0,9,0
0.05,0.05,0.5,30,8,TIMEOUT,0,10,0
0.05,0.05,0.5,30,9,RESOURCE_TAKEN,0,11,1
0.05,0.05,0.5,31,0,TIMEOUT,0,2,2
0.05,0.05,0.5,31,1,TIMEOUT,0,3,2
0.05,0.05,0.5,31,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,31,3,TIMEOUT,0,5,1
0.05,0.05,0.5,31,4,TIMEOUT,0,6,0
0.05,0.05,0.5,31,5,TIMEOUT,0,7,0
0.05,0.05,0.5,31,6,TIMEOUT,0,8,2
0.05,0.05,0.5,31,7,TIMEOUT,0,9,0
0.05,0.05,0.5,31,8,RESOURCE_TAKEN,0,10,1
0.05,0.05,0.5,31,9,TIMEOUT,0,11,1
0.05,0.05,0.5,32,0,PARTNER_RESCUED,1,2,0
0.05,0.05,0.5,32,1,TIMEOUT,0,3,0
0.05,0.05,0.5,32,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,32,3,PARTNER_RESCUED,1,5,0
0.05,0.05,0.5,32,4,TIMEOUT,0,6,0
0.05,0.05,0.5,32,5,TIMEOUT,0,7,0
0.05,0.05,0.5,32,6,TIMEOUT,0,8,2
0.05,0.05,0.5,32,7,TIMEOUT,0,9,1
0.05,0.05,0.5,32,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,0.5,32,9,PARTNER_DEAD,0,11,0
0.05,0.05,0.5,33,0,TIMEOUT,0,2,1
0.05,0.05,0.5,33,1,TIMEOUT,0,3,1
0.05,0.05,0.5,33,2,TIMEOUT,0,4,0
0.05,0.05,0.5,33,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,0.5,33,4,TIMEOUT,0,6,2
0.05,0.05,0.5,33,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,0.5,33,6,PARTNER_RESCUED,1,8,0
