beta_guilt,beta_loyalty,kappa,agent_id,ep0_outcome,ep1_outcome,snapshot_after_ep,mem_idx,tag,age,importance,guilt,loyalty,survival,fear,curiosity,emo_magnitude,mem_class
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,9,2,timeout,84,0.5,0.005380750263073382,0.004035562697305039,0.2,0.2,0.0,0.40941631296037845,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,9,3,failure,74,0.85,0.01909702501999568,0.011233544129409214,0.3,0.2,0.0,0.5303305691494049,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,9,4,timeout,62,0.5,0.016631197434289646,0.012473398075717238,0.2,0.2,0.0,0.4291045955100069,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,9,5,timeout,50,0.5,0.030777990110685244,0.02308349258301395,0.2,0.2,0.0,0.4538614826936992,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,9,6,failure,41,0.85,0.1037735664263208,0.061043274368423966,0.3,0.2,0.0,0.6648168407947448,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,9,7,rescue,34,0.7,0.0,0.1398596917790376,0.1,0.1,0.0,0.33985969177903763,loyalty
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,9,8,timeout,22,0.5,0.12941341798948364,0.09706006349211271,0.2,0.2,0.0,0.6264734814815964,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,9,9,failure,12,0.85,0.4593060745132413,0.2701800438313183,0.3,0.2,0.0,1.2294861183445596,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,9,10,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,4,0,seed,75,0.9,0.04146281908825676,0.027641879392171168,0.2,0.1,0.0,0.36910469848042793,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,4,1,timeout,48,0.5,0.034103036133723265,0.025577277100292468,0.2,0.2,0.0,0.45968031323401576,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,4,2,failure,36,0.85,0.1341123325699928,0.07888960739411338,0.3,0.2,0.0,0.7130019399641061,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,4,3,timeout,24,0.5,0.11679560973550897,0.08759670730163172,0.2,0.2,0.0,0.6043923170371407,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,4,4,timeout,12,0.5,0.21614403506505467,0.162108026298791,0.2,0.2,0.0,0.7782520613638457,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,4,5,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,9,0,seed,132,0.9,0.0022279442960528853,0.0014852961973685903,0.2,0.1,0.0,0.3037132404934215,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,9,1,timeout,105,0.5,0.0018324770602424721,0.001374357795181855,0.2,0.2,0.0,0.40320683485542436,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,9,2,failure,93,0.85,0.007206331189002271,0.0042390183464719195,0.3,0.2,0.0,0.5114453495354743,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,9,3,timeout,81,0.5,0.006275842266305155,0.004706881699728869,0.2,0.2,0.0,0.4109827239660341,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,9,4,timeout,69,0.5,0.011614185447063137,0.008710639085297357,0.2,0.2,0.0,0.42032482453236053,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,9,5,timeout,57,0.5,0.021493418393096105,0.016120063794822087,0.2,0.2,0.0,0.4376134821879182,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,9,6,timeout,45,0.5,0.039776102794836884,0.02983207709612768,0.2,0.2,0.0,0.4696081798909646,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,9,7,timeout,33,0.5,0.07361036409423032,0.05520777307067275,0.2,0.2,0.0,0.5288181371649031,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,9,8,timeout,21,0.5,0.13622465051524593,0.10216848788643444,0.2,0.2,0.0,0.6383931384016804,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,9,9,failure,12,0.85,0.4593060745132413,0.2701800438313183,0.3,0.2,0.0,1.2294861183445596,guilt
0.05,0.05,0.5,3,TIMEOUT,RESOURCE_TAKEN,9,10,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,4,0,seed,63,0.9,0.07673183130087738,0.051154554200584935,0.2,0.1,0.0,0.4278863855014624,guilt
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,4,1,rescue,41,0.7,0.0,0.09766923898947834,0.1,0.1,0.0,0.2976692389894784,loyalty
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,4,2,timeout,29,0.5,0.09037421639702622,0.06778066229776968,0.2,0.2,0.0,0.5581548786947959,guilt
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,4,3,failure,18,0.85,0.33763217068948553,0.19860715922910904,0.3,0.2,0.0,1.0362393299185946,guilt
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,4,4,rescue,12,0.7,0.0,0.43228807013010934,0.1,0.1,0.0,0.6322880701301093,loyalty
0.05,0.05,0.5,4,PARTNER_RESCUED,TIMEOUT,4,5,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
