cell,tau_guilt,tau_loyalty,agent_id,episode_idx,outcome,rescued,n_memories,e_max,was_encoded,target_switches
G0.3_L0.3,0.3,0.3,13,7,TIMEOUT,0,9,0.4717,1,2
G0.3_L0.3,0.3,0.3,13,8,RESOURCE_TAKEN,0,10,0.39,1,0
G0.3_L0.3,0.3,0.3,13,9,TIMEOUT,0,11,1.0,1,0
G0.3_L0.3,0.3,0.3,14,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,14,1,TIMEOUT,0,3,1.0,1,0
G0.3_L0.3,0.3,0.3,14,2,TIMEOUT,0,4,0.6789,1,1
G0.3_L0.3,0.3,0.3,14,3,TIMEOUT,0,5,0.5162,1,0
G0.3_L0.3,0.3,0.3,14,4,TIMEOUT,0,6,0.4717,1,1
G0.3_L0.3,0.3,0.3,14,5,PARTNER_DEAD,0,7,0.385,1,0
G0.3_L0.3,0.3,0.3,14,6,PARTNER_RESCUED,1,8,1.0,1,0
G0.3_L0.3,0.3,0.3,14,7,PARTNER_RESCUED,1,9,0.7,1,0
G0.3_L0.3,0.3,0.3,14,8,TIMEOUT,0,10,1.0,1,1
G0.3_L0.3,0.3,0.3,14,9,PARTNER_RESCUED,1,11,0.6567,1,0
G0.3_L0.3,0.3,0.3,15,0,TIMEOUT,0,2,1.0,1,0
G0.3_L0.3,0.3,0.3,15,1,TIMEOUT,0,3,0.8452,1,2
G0.3_L0.3,0.3,0.3,15,2,TIMEOUT,0,4,0.5614,1,1
G0.3_L0.3,0.3,0.3,15,3,TIMEOUT,0,5,0.4717,1,2
G0.3_L0.3,0.3,0.3,15,4,TIMEOUT,0,6,0.4717,1,1
G0.3_L0.3,0.3,0.3,15,5,TIMEOUT,0,7,0.4717,1,0
G0.3_L0.3,0.3,0.3,15,6,TIMEOUT,0,8,0.4717,1,1
G0.3_L0.3,0.3,0.3,15,7,TIMEOUT,0,9,0.4717,1,2
G0.3_L0.3,0.3,0.3,15,8,TIMEOUT,0,10,0.4717,1,0
G0.3_L0.3,0.3,0.3,15,9,RESOURCE_TAKEN,0,11,0.4717,1,0
G0.3_L0.3,0.3,0.3,16,0,TIMEOUT,0,2,1.0,1,1
G0.3_L0.3,0.3,0.3,16,1,TIMEOUT,0,3,0.858,1,2
G0.3_L0.3,0.3,0.3,16,2,TIMEOUT,0,4,0.5716,1,2
G0.3_L0.3,0.3,0.3,16,3,TIMEOUT,0,5,0.4717,1,2
G0.3_L0.3,0.3,0.3,16,4,RESOURCE_TAKEN,0,6,0.39,1,0
G0.3_L0.3,0.3,0.3,16,5,PARTNER_RESCUED,1,7,1.0,1,0
G0.3_L0.3,0.3,0.3,16,6,PARTNER_RESCUED,1,8,0.7,1,0
G0.3_L0.3,0.3,0.3,16,7,TIMEOUT,0,9,1.0,1,1
G0.3_L0.3,0.3,0.3,16,8,TIMEOUT,0,10,0.8963,1,1
G0.3_L0.3,0.3,0.3,16,9,TIMEOUT,0,11,0.5965,1,0
G0.3_L0.3,0.3,0.3,17,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,17,1,TIMEOUT,0,3,1.0,1,1
G0.3_L0.3,0.3,0.3,17,2,TIMEOUT,0,4,0.6617,1,0
G0.3_L0.3,0.3,0.3,17,3,TIMEOUT,0,5,0.5091,1,0
G0.3_L0.3,0.3,0.3,17,4,TIMEOUT,0,6,0.4717,1,0
G0.3_L0.3,0.3,0.3,17,5,RESOURCE_TAKEN,0,7,0.39,1,0
