kappa,encoding_jitter,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.1,0.0,24,7,RESOURCE_TAKEN,0,9,0
0.1,0.0,24,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,24,9,RESOURCE_TAKEN,0,11,0
0.1,0.0,25,0,TIMEOUT,0,2,3
0.1,0.0,25,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,25,2,TIMEOUT,0,4,0
0.1,0.0,25,3,TIMEOUT,0,5,1
0.1,0.0,25,4,TIMEOUT,0,6,0
0.1,0.0,25,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,25,6,TIMEOUT,0,8,0
0.1,0.0,25,7,TIMEOUT,0,9,0
0.1,0.0,25,8,TIMEOUT,0,10,0
0.1,0.0,25,9,TIMEOUT,0,11,0
0.1,0.0,26,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,26,1,TIMEOUT,0,3,0
0.1,0.0,26,2,TIMEOUT,0,4,1
0.1,0.0,26,3,TIMEOUT,0,5,0
0.1,0.0,26,4,TIMEOUT,0,6,1
0.1,0.0,26,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,26,6,TIMEOUT,0,8,3
0.1,0.0,26,7,TIMEOUT,0,9,3
0.1,0.0,26,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,26,9,TIMEOUT,0,11,4
0.1,0.0,27,0,TIMEOUT,0,2,0
0.1,0.0,27,1,RESOURCE_TAKEN,0,3,1
0.1,0.0,27,2,TIMEOUT,0,4,0
0.1,0.0,27,3,TIMEOUT,0,5,2
0.1,0.0,27,4,TIMEOUT,0,6,0
0.1,0.0,27,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,27,6,TIMEOUT,0,8,1
0.1,0.0,27,7,RESOURCE_TAKEN,0,9,0
0.1,0.0,27,8,TIMEOUT,0,10,0
0.1,0.0,27,9,RESOURCE_TAKEN,0,11,0
0.1,0.0,28,0,TIMEOUT,0,2,0
0.1,0.0,28,1,TIMEOUT,0,3,0
0.1,0.0,28,2,TIMEOUT,0,4,1
0.1,0.0,28,3,RESOURCE_TAKEN,0,5,2
0.1,0.0,28,4,TIMEOUT,0,6,1
0.1,0.0,28,5,TIMEOUT,0,7,0
0.1,0.0,28,6,TIMEOUT,0,8,1
0.1,0.0,28,7,RESOURCE_TAKEN,0,9,0
0.1,0.0,28,8,TIMEOUT,0,10,0
0.1,0.0,28,9,RESOURCE_TAKEN,0,11,0
0.1,0.0,29,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,29,1,TIMEOUT,0,3,0
0.1,0.0,29,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,29,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,29,4,TIMEOUT,0,6,0
0.1,0.0,29,5,TIMEOUT,0,7,1
0.1,0.0,29,6,TIMEOUT,0,8,0
0.1,0.0,29,7,RESOURCE_TAKEN,0,9,0
0.1,0.0,29,8,TIMEOUT,0,10,1
0.1,0.0,29,9,RESOURCE_TAKEN,0,11,0
0.1,0.0,30,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,30,1,TIMEOUT,0,3,2
0.1,0.0,30,2,TIMEOUT,0,4,2
0.1,0.0,30,3,TIMEOUT,0,5,0
0.1,0.0,30,4,TIMEOUT,0,6,2
0.1,0.0,30,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,30,6,RESOURCE_TAKEN,0,8,0
0.1,0.0,30,7,TIMEOUT,0,9,0
0.1,0.0,30,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,30,9,TIMEOUT,0,11,1
0.1,0.0,31,0,TIMEOUT,0,2,2
0.1,0.0,31,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,31,2,TIMEOUT,0,4,0
0.1,0.0,31,3,TIMEOUT,0,5,0
0.1,0.0,31,4,RESOURCE_TAKEN,0,6,0
0.1,0.0,31,5,TIMEOUT,0,7,1
0.1,0.0,31,6,TIMEOUT,0,8,2
